,Stn,Datum,Niveau,Rd,qRd
0,32,19200101,1,0,0
1,32,19200102,1,0,0
2,32,19200103,1,0,0
3,32,19200104,1,0,0
4,32,19200105,1,0,0
5,32,19200106,1,0,0
6,32,19200107,1,0,0
7,32,19200108,1,0,0
8,32,19200109,1,0,0
9,32,19200110,1,160,0
10,32,19200111,1,0,0
11,32,19200112,1,0,0
12,32,19200113,1,0,0
13,32,19200114,1,0,0
14,32,19200115,1,120,0
15,32,19200116,1,0,0
16,32,19200117,1,0,0
17,32,19200118,1,0,0
18,32,19200119,1,0,0
19,32,19200120,1,0,0
20,32,19200121,1,0,0
21,32,19200122,1,0,0
22,32,19200123,1,290,0
23,32,19200124,1,0,0
24,32,19200125,1,0,0
25,32,19200126,1,0,0
26,32,19200127,1,0,0
27,32,19200128,1,0,0
28,32,19200129,1,0,0
29,32,19200130,1,0,0
30,32,19200131,1,0,0
31,32,19200201,1,0,0
32,32,19200202,1,0,0
33,32,19200203,1,0,0
34,32,19200204,1,0,0
35,32,19200205,1,0,0
36,32,19200206,1,0,0
37,32,19200207,1,0,0
38,32,19200208,1,0,0
39,32,19200209,1,0,0
40,32,19200210,1,0,0
41,32,19200211,1,0,0
42,32,19200212,1,0,0
43,32,19200213,1,0,0
44,32,19200214,1,0,0
45,32,19200215,1,0,0
46,32,19200216,1,0,0
47,32,19200217,1,0,0
48,32,19200218,1,0,0
49,32,19200219,1,0,0
50,32,19200220,1,0,0
51,32,19200221,1,0,0
52,32,19200222,1,0,0
53,32,19200223,1,0,0
54,32,19200224,1,0,0
55,32,19200225,1,0,0
56,32,19200226,1,0,0
57,32,19200227,1,0,0
58,32,19200228,1,0,0
59,32,19200229,1,0,0
60,32,19200301,1,0,0
61,32,19200302,1,0,0
62,32,19200303,1,0,0
63,32,19200304,1,0,0
64,32,19200305,1,0,0
65,32,19200306,1,0,0
66,32,19200307,1,0,0
67,32,19200308,1,0,0
68,32,19200309,1,0,0
69,32,19200310,1,0,0
70,32,19200311,1,0,0
71,32,19200312,1,0,0
72,32,19200313,1,0,0
73,32,19200314,1,0,0
74,32,19200315,1,0,0
75,32,19200316,1,0,0
76,32,19200317,1,0,0
77,32,19200318,1,0,0
78,32,19200319,1,0,0
79,32,19200320,1,0,0
80,32,19200321,1,0,0
81,32,19200322,1,0,0
82,32,19200323,1,0,0
83,32,19200324,1,0,0
84,32,19200325,1,0,0
85,32,19200326,1,0,0
86,32,19200327,1,0,0
87,32,19200328,1,0,0
88,32,19200329,1,0,0
89,32,19200330,1,0,0
90,32,19200331,1,0,0
91,32,19200401,1,0,0
92,32,19200402,1,0,0
93,32,19200403,1,0,0
94,32,19200404,1,0,0
95,32,19200405,1,0,0
96,32,19200406,1,0,0
97,32,19200407,1,0,0
98,32,19200408,1,0,0
99,32,19200409,1,0,0
100,32,19200410,1,0,0
101,32,19200411,1,0,0
102,32,19200412,1,0,0
103,32,19200413,1,0,0
104,32,19200414,1,0,0
105,32,19200415,1,0,0
106,32,19200416,1,0,0
107,32,19200417,1,0,0
108,32,19200418,1,0,0
109,32,19200419,1,0,0
110,32,19200420,1,0,0
111,32,19200421,1,0,0
112,32,19200422,1,0,0
113,32,19200423,1,0,0
114,32,19200424,1,0,0
115,32,19200425,1,0,0
116,32,19200426,1,0,0
117,32,19200427,1,0,0
118,32,19200428,1,0,0
119,32,19200429,1,0,0
120,32,19200430,1,0,0
121,32,19200501,1,0,0
122,32,19200502,1,0,0
123,32,19200503,1,0,0
124,32,19200504,1,0,0
125,32,19200505,1,0,0
126,32,19200506,1,0,0
127,32,19200507,1,0,0
128,32,19200508,1,0,0
129,32,19200509,1,0,0
130,32,19200510,1,0,0
131,32,19200511,1,0,0
132,32,19200512,1,0,0
133,32,19200513,1,0,0
134,32,19200514,1,0,0
135,32,19200515,1,0,0
136,32,19200516,1,0,0
137,32,19200517,1,0,0
138,32,19200518,1,0,0
139,32,19200519,1,0,0
140,32,19200520,1,0,0
141,32,19200521,1,0,0
142,32,19200522,1,0,0
143,32,19200523,1,0,0
144,32,19200524,1,0,0
145,32,19200525,1,0,0
146,32,19200526,1,0,0
147,32,19200527,1,0,0
148,32,19200528,1,0,0
149,32,19200529,1,0,0
150,32,19200530,1,0,0
151,32,19200531,1,0,0
152,32,19200601,1,0,0
153,32,19200602,1,0,0
154,32,19200603,1,0,0
155,32,19200604,1,0,0
156,32,19200605,1,0,0
157,32,19200606,1,0,0
158,32,19200607,1,0,0
159,32,19200608,1,0,0
160,32,19200609,1,0,0
161,32,19200610,1,0,0
162,32,19200611,1,0,0
163,32,19200612,1,0,0
164,32,19200613,1,0,0
165,32,19200614,1,0,0
166,32,19200615,1,0,0
167,32,19200616,1,0,0
168,32,19200617,1,0,0
169,32,19200618,1,0,0
170,32,19200619,1,0,0
171,32,19200620,1,0,0
172,32,19200621,1,0,0
173,32,19200622,1,0,0
174,32,19200623,1,0,0
175,32,19200624,1,0,0
176,32,19200625,1,20,0
177,32,19200626,1,0,0
178,32,19200627,1,0,0
179,32,19200628,1,0,0
180,32,19200629,1,0,0
181,32,19200630,1,0,0
182,32,19200701,1,0,0
183,32,19200702,1,0,0
184,32,19200703,1,70,0
