,Stn,Datum,P,qP
0,32,19310101,765.5,0
1,32,19310102,765.5,0
2,32,19310103,764.0,0
3,32,19310104,766.0,0
4,32,19310105,765.5,0
5,32,19310106,765.0,0
6,32,19310107,765.5,0
7,32,19310108,765.0,0
8,32,19310109,765.0,0
9,32,19310110,763.5,0
10,32,19310111,764.0,0
11,32,19310112,764.0,0
12,32,19310113,764.5,0
13,32,19310114,766.0,0
14,32,19310115,765.5,0
15,32,19310116,767.0,0
16,32,19310117,766.0,0
17,32,19310118,765.0,0
18,32,19310119,766.0,0
19,32,19310120,765.0,0
20,32,19310121,766.0,0
21,32,19310122,765.0,0
22,32,19310123,766.0,0
23,32,19310124,766.0,0
24,32,19310125,765.5,0
25,32,19310126,766.0,0
26,32,19310127,766.0,0
27,32,19310128,765.0,0
28,32,19310129,765.0,0
29,32,19310130,765.5,0
30,32,19310131,765.0,0
31,32,19310201,764.0,0
32,32,19310202,764.5,0
33,32,19310203,762.5,0
34,32,19310204,763.0,0
35,32,19310205,764.5,0
36,32,19310206,765.0,0
37,32,19310207,765.0,0
38,32,19310208,763.0,0
39,32,19310209,763.0,0
40,32,19310210,764.5,0
41,32,19310211,764.0,0
42,32,19310212,765.5,0
43,32,19310213,766.0,0
44,32,19310214,765.0,0
45,32,19310215,764.5,0
46,32,19310216,764.0,0
47,32,19310217,768.0,0
48,32,19310218,766.5,0
49,32,19310219,766.5,0
50,32,19310220,765.5,0
51,32,19310221,766.0,0
52,32,19310222,766.0,0
53,32,19310223,766.0,0
54,32,19310224,765.5,0
55,32,19310225,764.0,0
56,32,19310226,764.0,0
57,32,19310227,766.5,0
58,32,19310228,767.0,0
59,32,19310301,766.0,0
60,32,19310302,766.5,0
61,32,19310303,764.5,0
62,32,19310304,766.0,0
63,32,19310305,766.5,0
64,32,19310306,766.0,0
65,32,19310307,766.0,0
66,32,19310308,767.0,0
67,32,19310309,767.0,0
68,32,19310310,768.0,0
69,32,19310311,766.0,0
70,32,19310312,768.0,0
71,32,19310313,767.5,0
72,32,19310314,765.5,0
73,32,19310315,765.0,0
74,32,19310316,764.0,0
75,32,19310317,764.0,0
76,32,19310318,766.0,0
77,32,19310319,766.5,0
78,32,19310320,765.0,0
79,32,19310321,765.5,0
80,32,19310322,764.0,0
81,32,19310323,766.5,0
82,32,19310324,765.5,0
83,32,19310325,765.5,0
84,32,19310326,766.0,0
85,32,19310327,766.0,0
86,32,19310328,765.0,0
87,32,19310329,766.0,0
88,32,19310330,766.0,0
89,32,19310331,765.0,0
90,32,19310401,764.5,0
91,32,19310402,764.5,0
92,32,19310403,764.0,0
93,32,19310404,765.0,0
94,32,19310405,764.5,0
95,32,19310406,764.5,0
96,32,19310407,764.0,0
97,32,19310408,764.0,0
98,32,19310409,764.5,0
99,32,19310410,765.5,0
100,32,19310411,764.5,0
101,32,19310412,765.0,0
102,32,19310413,765.5,0
103,32,19310414,765.5,0
104,32,19310415,765.0,0
105,32,19310416,765.0,0
106,32,19310417,764.0,0
107,32,19310418,764.0,0
108,32,19310419,764.5,0
109,32,19310420,764.0,0
110,32,19310421,763.5,0
111,32,19310422,764.0,0
112,32,19310423,763.0,0
113,32,19310424,764.5,0
114,32,19310425,764.0,0
115,32,19310426,765.0,0
116,32,19310427,765.0,0
117,32,19310428,764.0,0
118,32,19310429,764.0,0
119,32,19310430,765.0,0
120,32,19310501,764.5,0
121,32,19310502,765.0,0
122,32,19310503,764.0,0
123,32,19310504,763.5,0
124,32,19310505,763.0,0
125,32,19310506,764.0,0
126,32,19310507,763.5,0
127,32,19310508,764.0,0
128,32,19310509,763.0,0
129,32,19310510,764.0,0
130,32,19310511,763.0,0
131,32,19310512,763.0,0
132,32,19310513,765.0,0
133,32,19310514,764.0,0
134,32,19310515,765.5,0
135,32,19310516,765.0,0
136,32,19310517,764.0,0
137,32,19310518,764.0,0
138,32,19310519,763.5,0
139,32,19310520,763.0,0
140,32,19310521,764.5,0
141,32,19310522,764.5,0
142,32,19310523,764.0,0
143,32,19310524,764.5,0
144,32,19310525,763.5,0
145,32,19310526,765.0,0
146,32,19310527,764.0,0
147,32,19310528,764.5,0
148,32,19310529,764.0,0
149,32,19310530,765.0,0
150,32,19310531,764.5,0
151,32,19310601,765.0,0
152,32,19310602,767.0,0
153,32,19310603,765.0,0
154,32,19310604,764.5,0
155,32,19310605,765.0,0
156,32,19310606,766.0,0
157,32,19310607,765.0,0
158,32,19310608,764.0,0
159,32,19310609,765.5,0
160,32,19310610,765.5,0
161,32,19310611,767.0,0
162,32,19310612,766.5,0
163,32,19310613,766.5,0
164,32,19310614,766.0,0
165,32,19310615,766.0,0
166,32,19310616,766.5,0
167,32,19310617,766.5,0
168,32,19310618,766.5,0
169,32,19310619,765.5,0
170,32,19310620,765.5,0
171,32,19310621,765.5,0
172,32,19310622,765.5,0
173,32,19310623,765.5,0
174,32,19310624,765.5,0
175,32,19310625,765.0,0
176,32,19310626,765.5,0
177,32,19310627,764.0,0
178,32,19310628,764.0,0
179,32,19310629,763.5,0
180,32,19310630,764.0,0
181,32,19310701,764.0,0
182,32,19310702,764.5,0
183,32,19310703,765.0,0
