,Stn,Datum,Niveau,Rd,qRd
0,32,19370101,1,—,7
1,32,19370102,1,—,7
2,32,19370103,1,—,7
3,32,19370104,1,—,7
4,32,19370105,1,—,7
5,32,19370106,1,—,7
6,32,19370107,1,—,7
7,32,19370108,1,—,7
8,32,19370109,1,—,7
9,32,19370110,1,—,7
10,32,19370111,1,—,7
11,32,19370112,1,—,7
12,32,19370113,1,—,7
13,32,19370114,1,—,7
14,32,19370115,1,—,7
15,32,19370116,1,—,7
16,32,19370117,1,—,7
17,32,19370118,1,—,7
18,32,19370119,1,—,7
19,32,19370120,1,—,7
20,32,19370121,1,—,7
21,32,19370122,1,—,7
22,32,19370123,1,—,7
23,32,19370124,1,—,7
24,32,19370125,1,—,7
25,32,19370126,1,—,7
26,32,19370127,1,—,7
27,32,19370128,1,—,7
28,32,19370129,1,—,7
29,32,19370130,1,—,7
30,32,19370131,1,—,7
31,32,19370201,1,—,7
32,32,19370202,1,—,7
33,32,19370203,1,—,7
34,32,19370204,1,—,7
35,32,19370205,1,—,7
36,32,19370206,1,—,7
37,32,19370207,1,—,7
38,32,19370208,1,—,7
39,32,19370209,1,—,7
40,32,19370210,1,—,7
41,32,19370211,1,—,7
42,32,19370212,1,—,7
43,32,19370213,1,—,7
44,32,19370214,1,—,7
45,32,19370215,1,—,7
46,32,19370216,1,—,7
47,32,19370217,1,—,7
48,32,19370218,1,—,7
49,32,19370219,1,—,7
50,32,19370220,1,—,7
51,32,19370221,1,—,7
52,32,19370222,1,—,7
53,32,19370223,1,—,7
54,32,19370224,1,—,7
55,32,19370225,1,—,7
56,32,19370226,1,—,7
57,32,19370227,1,—,7
58,32,19370228,1,—,7
59,32,19370301,1,—,7
60,32,19370302,1,—,7
61,32,19370303,1,—,7
62,32,19370304,1,—,7
63,32,19370305,1,—,7
64,32,19370306,1,—,7
65,32,19370307,1,—,7
66,32,19370308,1,—,7
67,32,19370309,1,—,7
68,32,19370310,1,—,7
69,32,19370311,1,—,7
70,32,19370312,1,—,7
71,32,19370313,1,—,7
72,32,19370314,1,—,7
73,32,19370315,1,—,7
74,32,19370316,1,—,7
75,32,19370317,1,—,7
76,32,19370318,1,—,7
77,32,19370319,1,—,7
78,32,19370320,1,—,7
79,32,19370321,1,—,7
80,32,19370322,1,—,7
81,32,19370323,1,—,7
82,32,19370324,1,—,7
83,32,19370325,1,—,7
84,32,19370326,1,—,7
85,32,19370327,1,—,7
86,32,19370328,1,—,7
87,32,19370329,1,—,7
88,32,19370330,1,—,7
89,32,19370331,1,—,7
90,32,19370401,1,—,7
91,32,19370402,1,—,7
92,32,19370403,1,—,7
93,32,19370404,1,—,7
94,32,19370405,1,—,7
95,32,19370406,1,—,7
96,32,19370407,1,—,7
97,32,19370408,1,—,7
98,32,19370409,1,—,7
99,32,19370410,1,—,7
100,32,19370411,1,—,7
101,32,19370412,1,—,7
102,32,19370413,1,—,7
103,32,19370414,1,—,7
104,32,19370415,1,—,7
105,32,19370416,1,—,7
106,32,19370417,1,—,7
107,32,19370418,1,—,7
108,32,19370419,1,—,7
109,32,19370420,1,—,7
110,32,19370421,1,—,7
111,32,19370422,1,—,7
112,32,19370423,1,—,7
113,32,19370424,1,—,7
114,32,19370425,1,—,7
115,32,19370426,1,—,7
116,32,19370427,1,—,7
