,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
0,32,19400101,7.0,759.7,0,27.1,0,—,7,—,7,76,0,20.5,0,23.8,0,90,0,0.3,0,4,0
1,32,19400101,12.0,759.2,0,27.3,0,—,7,—,7,73,0,20,0,23.6,0,90,0,0.4,0,3,0
2,32,19400101,17.0,758.2,0,26.9,0,—,7,—,7,76,0,20.2,0,23.6,0,90,0,0.4,0,3,0
3,32,19400101,24.0,—,7,—,7,28,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
4,32,19400102,7.0,759.2,0,26.1,0,—,7,—,7,80,0,20.2,0,23.4,0,65,0,0.3,0,3,0
5,32,19400102,12.0,759.7,0,27.1,0,—,7,—,7,77,0,20.8,0,24,0,65,0,0.4,0,2,0
6,32,19400102,17.0,758.7,0,26.7,0,—,7,—,7,78,0,20.5,0,23.7,0,45,0,0.5,0,4,0
7,32,19400102,24.0,—,7,—,7,26.9,0,28.8,0,—,7,—,7,—,7,—,7,—,7,—,7
8,32,19400103,7.0,760.7,0,26.1,0,—,7,—,7,81,0,20.6,0,23.6,0,65,0,0.3,0,3,0
9,32,19400103,12.0,760.5,0,29.5,0,—,7,—,7,67,0,20.8,0,24.6,0,65,0,0.4,0,2,0
10,32,19400103,17.0,759.5,0,28.5,0,—,7,—,7,68,0,19.8,0,23.8,0,65,0,0.5,0,4,0
11,32,19400103,24.0,—,7,—,7,27,0,30.8,0,—,7,—,7,—,7,—,7,—,7,—,7
12,32,19400104,7.0,760.5,0,26.3,0,—,7,—,7,82,0,21,0,23.9,0,65,0,0.3,0,2,0
13,32,19400104,12.0,758.2,0,28.1,0,—,7,—,7,72,0,20.7,0,24.2,0,65,0,0.5,0,4,0
14,32,19400104,17.0,758.2,0,27.3,0,—,7,—,7,75,0,20.4,0,23.8,0,65,0,0.5,0,4,0
15,32,19400104,24.0,—,7,—,7,27.4,0,29.4,0,—,7,—,7,—,7,—,7,—,7,—,7
16,32,19400105,7.0,761,0,26.7,0,—,7,—,7,77,0,20.3,0,23.6,0,65,0,0.4,0,3,0
17,32,19400105,12.0,761.2,0,29.5,0,—,7,—,7,68,0,21.1,0,24.8,0,65,0,0.4,0,5,0
18,32,19400105,17.0,759.7,0,27.9,0,—,7,—,7,72,0,20.2,0,23.9,0,65,0,0.5,0,4,0
19,32,19400105,24.0,—,7,—,7,27.2,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
20,32,19400106,7.0,760.5,0,26.9,0,—,7,—,7,77,0,20.6,0,23.8,0,65,0,0.4,0,4,0
21,32,19400106,12.0,760,0,29.3,0,—,7,—,7,68,0,20.9,0,24.6,0,65,0,0.5,0,5,0
22,32,19400106,17.0,759.2,0,28.4,0,—,7,—,7,71,0,20.7,0,24.3,0,65,0,0.5,0,4,0
23,32,19400106,24.0,—,7,—,7,27.4,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
24,32,19400107,7.0,761,0,26.7,0,—,7,—,7,69,0,18.2,0,22.4,0,65,0,0.3,0,2,0
25,32,19400107,12.0,761.2,0,29.3,0,—,7,—,7,64,0,19.7,0,24,0,65,0,0.4,0,3,0
26,32,19400107,17.0,761.2,0,28.9,0,—,7,—,7,65,0,19.6,0,23.8,0,65,0,0.5,0,3,0
27,32,19400107,24.0,—,7,—,7,27.9,0,31,0,—,7,—,7,—,7,—,7,—,7,—,7
28,32,19400108,7.0,761.2,0,26.9,0,—,7,—,7,72,0,19.1,0,23,0,65,0,0.3,0,2,0
29,32,19400108,12.0,761.2,0,28.7,0,—,7,—,7,66,0,19.7,0,23.8,0,65,0,0.4,0,4,0
30,32,19400108,17.0,761.2,0,28.5,0,—,7,—,7,68,0,19.8,0,23.8,0,65,0,0.4,0,3,0
31,32,19400108,24.0,—,7,—,7,29,0,30.4,0,—,7,—,7,—,7,—,7,—,7,—,7
32,32,19400109,7.0,762,0,27.1,0,—,7,—,7,77,0,20.8,0,24,0,65,0,0.3,0,2,0
33,32,19400109,12.0,761.7,0,27.9,0,—,7,—,7,74,0,21.9,0,24.3,0,65,0,0.4,0,3,0
34,32,19400109,17.0,760.2,0,27.5,0,—,7,—,7,74,0,20.4,0,23.9,0,65,0,0.4,0,4,0
35,32,19400109,24.0,—,7,—,7,27.9,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
36,32,19400110,7.0,762.3,0,26.9,0,—,7,—,7,79,0,20.9,0,24,0,65,0,0.3,0,1,0
37,32,19400110,12.0,760.7,0,28.5,0,—,7,—,7,70,0,20.5,0,24.2,0,65,0,0.4,0,3,0
38,32,19400110,17.0,760.7,0,27.9,0,—,7,—,7,72,0,20.2,0,23.9,0,65,0,0.5,0,4,0
39,32,19400110,24.0,—,7,—,7,28.5,0,30.5,0,—,7,—,7,—,7,—,7,—,7,—,7
40,32,19400111,7.0,760.2,0,25.1,0,—,7,—,7,82,0,19.7,0,22.8,0,45,0,0.3,0,2,0
41,32,19400111,12.0,759.5,0,26.5,0,—,7,—,7,77,0,20,0,23.4,0,45,0,0.4,0,4,0
42,32,19400111,17.0,760.7,0,26.5,0,—,7,—,7,76,0,19.9,0,23.3,0,45,0,0.5,0,4,0
