,Stn,Datum,Tijd,Px,qPx,Pn,qPn,Tx,qTx,Tn,qTn
0,44,19200101,24.0,757.0,0,756.5,0,29.0,0,28.5,0
1,44,19200102,24.0,757.5,0,757.0,0,29.0,0,29.0,0
2,44,19200103,24.0,756.0,0,755.5,0,29.5,0,29.0,0
3,44,19200104,24.0,757.0,0,756.5,0,28.5,0,28.0,0
4,44,19200105,24.0,756.5,0,755.5,0,29.0,0,28.5,0
5,44,19200106,24.0,757.5,0,757.0,0,28.0,0,27.5,0
6,44,19200107,24.0,757.5,0,756.5,0,28.5,0,28.0,0
7,44,19200108,24.0,757.5,0,757.0,0,28.5,0,28.0,0
8,44,19200109,24.0,758.0,0,757.5,0,29.0,0,28.5,0
9,44,19200110,24.0,758.0,0,756.5,0,27.0,0,26.0,0
10,44,19200111,24.0,758.0,0,756.5,0,27.0,0,26.0,0
11,44,19200112,24.0,758.0,0,756.0,0,27.0,0,26.5,0
12,44,19200113,24.0,757.5,0,756.5,0,28.0,0,26.5,0
13,44,19200114,24.0,758.0,0,756.0,0,28.0,0,28.0,0
14,44,19200115,24.0,757.5,0,756.5,0,26.5,0,26.0,0
15,44,19200116,24.0,757.5,0,755.5,0,28.0,0,27.0,0
16,44,19200117,24.0,757.5,0,756.5,0,29.0,0,27.5,0
17,44,19200118,24.0,758.0,0,757.5,0,28.5,0,28.0,0
18,44,19200119,24.0,757.5,0,756.5,0,27.5,0,27.0,0
19,44,19200120,24.0,758.0,0,755.5,0,27.5,0,26.5,0
20,44,19200121,24.0,758.0,0,756.5,0,26.0,0,25.5,0
21,44,19200122,24.0,757.5,0,757.0,0,26.5,0,26.0,0
22,44,19200123,24.0,757.5,0,757.0,0,27.0,0,26.5,0
23,44,19200124,24.0,757.5,0,756.0,0,27.5,0,26.5,0
24,44,19200125,24.0,757.0,0,756.5,0,28.5,0,27.0,0
25,44,19200126,24.0,757.5,0,757.0,0,28.0,0,27.0,0
26,44,19200127,24.0,758.0,0,756.5,0,28.0,0,27.5,0
27,44,19200128,24.0,758.0,0,756.0,0,27.5,0,27.0,0
28,44,19200129,24.0,757.5,0,757.0,0,27.0,0,26.5,0
29,44,19200130,24.0,757.5,0,755.5,0,27.0,0,26.5,0
30,44,19200131,24.0,757.0,0,756.0,0,27.5,0,27.0,0
