,Stn,Datum,Niveau,Rd,qRd
0,44,19350101,1,84,0
1,44,19350102,1,0,0
2,44,19350103,1,34,0
3,44,19350104,1,0,0
4,44,19350105,1,0,0
5,44,19350106,1,0,0
6,44,19350107,1,0,0
7,44,19350108,1,0,0
8,44,19350109,1,0,0
9,44,19350110,1,0,0
10,44,19350111,1,0,0
11,44,19350112,1,0,0
12,44,19350113,1,0,0
13,44,19350114,1,0,0
14,44,19350115,1,0,0
15,44,19350116,1,0,0
16,44,19350117,1,0,0
17,44,19350118,1,0,0
18,44,19350119,1,0,0
19,44,19350120,1,0,0
20,44,19350121,1,81,0
21,44,19350122,1,0,0
22,44,19350123,1,0,0
23,44,19350124,1,0,0
24,44,19350125,1,0,0
25,44,19350126,1,0,0
26,44,19350127,1,0,0
27,44,19350128,1,0,0
28,44,19350129,1,0,0
29,44,19350130,1,0,0
30,44,19350131,1,0,0
31,44,19350201,1,0,0
32,44,19350202,1,0,0
33,44,19350203,1,0,0
34,44,19350204,1,0,0
35,44,19350205,1,0,0
36,44,19350206,1,0,0
37,44,19350207,1,29,0
38,44,19350208,1,0,0
39,44,19350209,1,16,0
40,44,19350210,1,0,0
41,44,19350211,1,0,0
42,44,19350212,1,2,0
43,44,19350213,1,0,0
44,44,19350214,1,0,0
45,44,19350215,1,0,0
46,44,19350216,1,0,0
47,44,19350217,1,0,0
48,44,19350218,1,156,0
49,44,19350219,1,0,0
50,44,19350220,1,0,0
51,44,19350221,1,0,0
52,44,19350222,1,0,0
53,44,19350223,1,0,0
54,44,19350224,1,0,0
55,44,19350225,1,0,0
56,44,19350226,1,0,0
57,44,19350227,1,0,0
58,44,19350228,1,68,0
59,44,19350301,1,0,0
60,44,19350302,1,0,0
61,44,19350303,1,0,0
62,44,19350304,1,0,0
63,44,19350305,1,0,0
64,44,19350306,1,0,0
65,44,19350307,1,0,0
66,44,19350308,1,0,0
67,44,19350309,1,0,0
68,44,19350310,1,0,0
69,44,19350311,1,0,0
70,44,19350312,1,0,0
71,44,19350313,1,0,0
72,44,19350314,1,0,0
73,44,19350315,1,0,0
74,44,19350316,1,101,0
75,44,19350317,1,0,0
76,44,19350318,1,0,0
77,44,19350319,1,0,0
78,44,19350320,1,26,0
79,44,19350321,1,0,0
80,44,19350322,1,0,0
81,44,19350323,1,0,0
82,44,19350324,1,0,0
83,44,19350325,1,0,0
84,44,19350326,1,0,0
85,44,19350327,1,0,0
86,44,19350328,1,0,0
87,44,19350329,1,0,0
88,44,19350330,1,0,0
89,44,19350331,1,0,0
90,44,19350401,1,0,0
91,44,19350402,1,0,0
92,44,19350403,1,60,0
93,44,19350404,1,0,0
94,44,19350405,1,0,0
95,44,19350406,1,0,0
96,44,19350407,1,0,0
97,44,19350408,1,0,0
98,44,19350409,1,0,0
99,44,19350410,1,0,0
100,44,19350411,1,0,0
101,44,19350412,1,0,0
102,44,19350413,1,0,0
103,44,19350414,1,0,0
104,44,19350415,1,0,0
105,44,19350416,1,0,0
106,44,19350417,1,0,0
107,44,19350418,1,0,0
108,44,19350419,1,0,0
109,44,19350420,1,0,0
110,44,19350421,1,0,0
111,44,19350422,1,0,0
112,44,19350423,1,0,0
113,44,19350424,1,0,0
114,44,19350425,1,0,0
115,44,19350426,1,0,0
116,44,19350427,1,0,0
117,44,19350428,1,0,0
118,44,19350429,1,0,0
119,44,19350430,1,0,0
120,44,19350501,1,0,0
121,44,19350502,1,0,0
122,44,19350503,1,0,0
123,44,19350504,1,0,0
124,44,19350505,1,0,0
125,44,19350506,1,55,0
126,44,19350507,1,0,0
127,44,19350508,1,0,0
128,44,19350509,1,100,0
129,44,19350510,1,0,0
130,44,19350511,1,0,0
131,44,19350512,1,0,0
132,44,19350513,1,0,0
