,Stn,Datum,Tijd,P,qP,T,qT
0,44,19380101,8.0,760.8062,0,26.11111111111111,0
1,44,19380101,15.0,758.5455999999999,0,28.055555555555557,0
2,44,19380102,8.0,761.0348,0,26.38888888888889,0
3,44,19380102,15.0,758.8757999999999,0,27.5,0
4,44,19380103,8.0,761.2633999999999,0,26.38888888888889,0
5,44,19380103,15.0,759.3076,0,28.055555555555557,0
6,44,19380104,8.0,760.8062,0,26.11111111111111,0
7,44,19380104,15.0,759.079,0,27.77777777777778,0
8,44,19380105,8.0,759.7901999999999,0,26.11111111111111,0
9,44,19380105,15.0,758.317,0,27.77777777777778,0
10,44,19380106,8.0,760.8824,0,25.555555555555557,0
11,44,19380106,15.0,758.3678,0,27.5,0
12,44,19380107,8.0,761.111,0,25.833333333333332,0
13,44,19380107,15.0,759.3838,0,27.77777777777778,0
14,44,19380108,8.0,762.0254,0,26.11111111111111,0
15,44,19380108,15.0,760.3489999999999,0,27.77777777777778,0
16,44,19380109,8.0,761.5935999999999,0,25.833333333333332,0
17,44,19380109,15.0,759.8156,0,28.055555555555557,0
18,44,19380110,8.0,761.1364,0,25.555555555555557,0
19,44,19380110,15.0,759.6378,0,27.77777777777778,0
20,44,19380111,8.0,761.365,0,25.555555555555557,0
21,44,19380111,15.0,758.8757999999999,0,27.5,0
22,44,19380112,8.0,761.6189999999999,0,25.555555555555557,0
23,44,19380112,15.0,760.1458,0,27.5,0
24,44,19380113,8.0,761.3396,0,25.833333333333332,0
25,44,19380113,15.0,759.9172,0,27.22222222222222,0
26,44,19380114,8.0,762.0254,0,26.11111111111111,0
27,44,19380114,15.0,761.0093999999999,0,26.666666666666668,0
28,44,19380115,8.0,762.381,0,25.555555555555557,0
29,44,19380115,15.0,761.1364,0,27.5,0
30,44,19380116,8.0,762.5333999999999,0,26.38888888888889,0
31,44,19380116,15.0,761.3904,0,27.5,0
32,44,19380117,8.0,762.5842,0,26.11111111111111,0
33,44,19380117,15.0,761.0856,0,27.77777777777778,0
34,44,19380118,8.0,762.0,0,26.666666666666668,0
35,44,19380118,15.0,760.0695999999999,0,28.055555555555557,0
36,44,19380119,8.0,762.0254,0,26.38888888888889,0
37,44,19380119,15.0,760.1712,0,27.22222222222222,0
38,44,19380120,8.0,761.8222,0,26.11111111111111,0
39,44,19380120,15.0,759.6632,0,27.22222222222222,0
40,44,19380121,8.0,761.9492,0,25.0,0
41,44,19380121,15.0,760.0441999999999,0,26.11111111111111,0
42,44,19380122,8.0,762.127,0,25.555555555555557,0
43,44,19380122,15.0,760.4252,0,27.22222222222222,0
44,44,19380123,8.0,762.3556,0,25.833333333333332,0
45,44,19380123,15.0,760.6791999999999,0,27.22222222222222,0
46,44,19380124,8.0,762.4318,0,25.27777777777778,0
47,44,19380124,15.0,760.7045999999999,0,26.944444444444443,0
48,44,19380125,8.0,762.127,0,25.555555555555557,0
49,44,19380125,15.0,760.4252,0,27.22222222222222,0
50,44,19380126,8.0,762.6858,0,25.27777777777778,0
51,44,19380126,15.0,761.3396,0,25.833333333333332,0
52,44,19380127,8.0,763.7271999999999,0,25.0,0
53,44,19380127,15.0,762.0,0,26.666666666666668,0
54,44,19380128,8.0,764.2098,0,25.27777777777778,0
55,44,19380128,15.0,762.4572,0,26.944444444444443,0
56,44,19380129,8.0,763.4477999999999,0,25.27777777777778,0
57,44,19380129,15.0,761.6444,0,27.5,0
58,44,19380130,8.0,762.9652,0,25.0,0
59,44,19380130,15.0,760.9078,0,27.5,0
60,44,19380131,8.0,762.381,0,25.555555555555557,0
61,44,19380131,15.0,760.4252,0,27.22222222222222,0
62,44,19380201,8.0,762.127,0,25.555555555555557,0
