,Stn,Datum,Tijd,F,qF
0,78989,18990101,1.0,9,0
1,78989,18990101,2.0,8,0
2,78989,18990101,3.0,8,0
3,78989,18990101,4.0,10,0
4,78989,18990101,5.0,8,0
5,78989,18990101,6.0,8,0
6,78989,18990101,7.0,9,0
7,78989,18990101,8.0,10,0
8,78989,18990101,9.0,13,0
9,78989,18990101,10.0,15,0
10,78989,18990101,11.0,16,0
11,78989,18990101,12.0,13,0
12,78989,18990101,13.0,15,0
13,78989,18990101,14.0,15,0
14,78989,18990101,15.0,14,0
15,78989,18990101,16.0,13,0
16,78989,18990101,17.0,12,0
17,78989,18990101,18.0,10,0
18,78989,18990101,19.0,9,0
19,78989,18990101,20.0,9,0
20,78989,18990101,21.0,8,0
21,78989,18990101,22.0,10,0
22,78989,18990101,23.0,9,0
23,78989,18990101,24.0,10,0
24,78989,18990102,1.0,10,0
25,78989,18990102,2.0,10,0
26,78989,18990102,3.0,9,0
27,78989,18990102,4.0,11,0
28,78989,18990102,5.0,11,0
29,78989,18990102,6.0,9,0
30,78989,18990102,7.0,8,0
31,78989,18990102,8.0,12,0
32,78989,18990102,9.0,13,0
33,78989,18990102,10.0,14,0
34,78989,18990102,11.0,15,0
35,78989,18990102,12.0,15,0
36,78989,18990102,13.0,12,0
37,78989,18990102,14.0,14,0
38,78989,18990102,15.0,15,0
39,78989,18990102,16.0,14,0
40,78989,18990102,17.0,12,0
41,78989,18990102,18.0,9,0
42,78989,18990102,19.0,8,0
43,78989,18990102,20.0,9,0
44,78989,18990102,21.0,8,0
45,78989,18990102,22.0,5,0
46,78989,18990102,23.0,7,0
47,78989,18990102,24.0,10,0
48,78989,18990103,1.0,6,0
49,78989,18990103,2.0,7,0
50,78989,18990103,3.0,8,0
51,78989,18990103,4.0,10,0
52,78989,18990103,5.0,8,0
53,78989,18990103,6.0,9,0
54,78989,18990103,7.0,11,0
55,78989,18990103,8.0,8,0
56,78989,18990103,9.0,13,0
57,78989,18990103,10.0,12,0
58,78989,18990103,11.0,12,0
59,78989,18990103,12.0,16,0
60,78989,18990103,13.0,15,0
61,78989,18990103,14.0,15,0
62,78989,18990103,15.0,15,0
63,78989,18990103,16.0,17,0
64,78989,18990103,17.0,13,0
65,78989,18990103,18.0,10,0
66,78989,18990103,19.0,11,0
67,78989,18990103,20.0,9,0
68,78989,18990103,21.0,11,0
69,78989,18990103,22.0,11,0
70,78989,18990103,23.0,8,0
71,78989,18990103,24.0,8,0
72,78989,18990104,1.0,8,0
73,78989,18990104,2.0,9,0
74,78989,18990104,3.0,8,0
75,78989,18990104,4.0,7,0
76,78989,18990104,5.0,8,0
77,78989,18990104,6.0,7,0
78,78989,18990104,7.0,9,0
79,78989,18990104,8.0,10,0
80,78989,18990104,9.0,14,0
81,78989,18990104,10.0,13,0
82,78989,18990104,11.0,16,0
83,78989,18990104,12.0,15,0
84,78989,18990104,13.0,15,0
85,78989,18990104,14.0,14,0
86,78989,18990104,15.0,14,0
87,78989,18990104,16.0,13,0
88,78989,18990104,17.0,12,0
89,78989,18990104,18.0,11,0
90,78989,18990104,19.0,10,0
91,78989,18990104,20.0,10,0
92,78989,18990104,21.0,9,0
93,78989,18990104,22.0,9,0
94,78989,18990104,23.0,10,0
95,78989,18990104,24.0,7,0
96,78989,18990105,1.0,10,0
97,78989,18990105,2.0,12,0
98,78989,18990105,3.0,11,0
99,78989,18990105,4.0,10,0
100,78989,18990105,5.0,11,0
101,78989,18990105,6.0,11,0
102,78989,18990105,7.0,8,0
103,78989,18990105,8.0,11,0
104,78989,18990105,9.0,12,0
105,78989,18990105,10.0,15,0
106,78989,18990105,11.0,13,0
107,78989,18990105,12.0,14,0
108,78989,18990105,13.0,15,0
109,78989,18990105,14.0,15,0
110,78989,18990105,15.0,14,0
111,78989,18990105,16.0,15,0
112,78989,18990105,17.0,14,0
113,78989,18990105,18.0,12,0
114,78989,18990105,19.0,11,0
115,78989,18990105,20.0,12,0
116,78989,18990105,21.0,13,0
117,78989,18990105,22.0,11,0
118,78989,18990105,23.0,11,0
119,78989,18990105,24.0,11,0
120,78989,18990106,1.0,10,0
121,78989,18990106,2.0,11,0
122,78989,18990106,3.0,10,0
123,78989,18990106,4.0,10,0
124,78989,18990106,5.0,9,0
125,78989,18990106,6.0,7,0
126,78989,18990106,7.0,8,0
127,78989,18990106,8.0,11,0
128,78989,18990106,9.0,14,0
129,78989,18990106,10.0,15,0
130,78989,18990106,11.0,15,0
131,78989,18990106,12.0,17,0
132,78989,18990106,13.0,16,0
133,78989,18990106,14.0,15,0
134,78989,18990106,15.0,16,0
135,78989,18990106,16.0,15,0
136,78989,18990106,17.0,14,0
137,78989,18990106,18.0,11,0
138,78989,18990106,19.0,11,0
139,78989,18990106,20.0,10,0
140,78989,18990106,21.0,11,0
141,78989,18990106,22.0,11,0
