,Stn,Datum,Niveau,Rd,qRd
0,78989,19100101,1,—,7
1,78989,19100102,1,—,7
2,78989,19100103,1,—,7
3,78989,19100104,1,—,7
4,78989,19100105,1,—,7
5,78989,19100106,1,—,7
6,78989,19100107,1,—,7
7,78989,19100108,1,—,7
8,78989,19100109,1,—,7
9,78989,19100110,1,—,7
10,78989,19100111,1,—,7
11,78989,19100112,1,—,7
12,78989,19100113,1,—,7
13,78989,19100114,1,—,7
14,78989,19100115,1,—,7
15,78989,19100116,1,—,7
16,78989,19100117,1,—,7
17,78989,19100118,1,—,7
18,78989,19100119,1,—,7
19,78989,19100120,1,—,7
20,78989,19100121,1,—,7
21,78989,19100122,1,—,7
22,78989,19100123,1,—,7
23,78989,19100124,1,—,7
24,78989,19100125,1,—,7
25,78989,19100126,1,—,7
26,78989,19100127,1,—,7
27,78989,19100128,1,—,7
28,78989,19100129,1,—,7
29,78989,19100130,1,—,7
30,78989,19100131,1,—,7
31,78989,19100201,1,—,7
32,78989,19100202,1,—,7
33,78989,19100203,1,—,7
34,78989,19100204,1,—,7
35,78989,19100205,1,—,7
36,78989,19100206,1,—,7
37,78989,19100207,1,—,7
38,78989,19100208,1,—,7
39,78989,19100209,1,—,7
40,78989,19100210,1,—,7
41,78989,19100211,1,—,7
42,78989,19100212,1,—,7
43,78989,19100213,1,—,7
44,78989,19100214,1,—,7
45,78989,19100215,1,—,7
46,78989,19100216,1,—,7
47,78989,19100217,1,—,7
48,78989,19100218,1,—,7
49,78989,19100219,1,—,7
50,78989,19100220,1,—,7
51,78989,19100221,1,—,7
52,78989,19100222,1,—,7
53,78989,19100223,1,—,7
54,78989,19100224,1,—,7
55,78989,19100225,1,—,7
56,78989,19100226,1,—,7
57,78989,19100227,1,—,7
58,78989,19100228,1,—,7
59,78989,19100301,1,—,7
60,78989,19100302,1,—,7
61,78989,19100303,1,—,7
62,78989,19100304,1,—,7
63,78989,19100305,1,—,7
64,78989,19100306,1,—,7
65,78989,19100307,1,—,7
66,78989,19100308,1,—,7
67,78989,19100309,1,—,7
68,78989,19100310,1,—,7
69,78989,19100311,1,—,7
70,78989,19100312,1,—,7
71,78989,19100313,1,—,7
72,78989,19100314,1,—,7
73,78989,19100315,1,—,7
74,78989,19100316,1,—,7
75,78989,19100317,1,—,7
76,78989,19100318,1,—,7
77,78989,19100319,1,—,7
78,78989,19100320,1,—,7
79,78989,19100321,1,—,7
80,78989,19100322,1,—,7
81,78989,19100323,1,—,7
82,78989,19100324,1,—,7
83,78989,19100325,1,—,7
84,78989,19100326,1,—,7
85,78989,19100327,1,—,7
86,78989,19100328,1,—,7
87,78989,19100329,1,—,7
88,78989,19100330,1,—,7
89,78989,19100331,1,—,7
90,78989,19100401,1,—,7
91,78989,19100402,1,—,7
92,78989,19100403,1,—,7
93,78989,19100404,1,—,7
94,78989,19100405,1,—,7
95,78989,19100406,1,—,7
96,78989,19100407,1,—,7
97,78989,19100408,1,—,7
98,78989,19100409,1,—,7
99,78989,19100410,1,—,7
100,78989,19100411,1,—,7
101,78989,19100412,1,—,7
102,78989,19100413,1,—,7
103,78989,19100414,1,—,7
104,78989,19100415,1,—,7
105,78989,19100416,1,—,7
106,78989,19100417,1,—,7
107,78989,19100418,1,—,7
108,78989,19100419,1,—,7
