,Stn,Datum,Niveau,Rd,qRd
0,78989,19170101,1,—,7
1,78989,19170102,1,—,7
2,78989,19170103,1,—,7
3,78989,19170104,1,—,7
4,78989,19170105,1,—,7
5,78989,19170106,1,—,7
6,78989,19170107,1,—,7
7,78989,19170108,1,—,7
8,78989,19170109,1,—,7
9,78989,19170110,1,—,7
10,78989,19170111,1,—,7
11,78989,19170112,1,—,7
12,78989,19170113,1,—,7
13,78989,19170114,1,—,7
14,78989,19170115,1,—,7
15,78989,19170116,1,—,7
16,78989,19170117,1,—,7
17,78989,19170118,1,—,7
18,78989,19170119,1,—,7
19,78989,19170120,1,—,7
20,78989,19170121,1,—,7
21,78989,19170122,1,—,7
22,78989,19170123,1,—,7
23,78989,19170124,1,—,7
24,78989,19170125,1,—,7
25,78989,19170126,1,—,7
26,78989,19170127,1,—,7
27,78989,19170128,1,—,7
28,78989,19170129,1,—,7
29,78989,19170130,1,—,7
30,78989,19170131,1,—,7
31,78989,19170201,1,—,7
32,78989,19170202,1,—,7
33,78989,19170203,1,—,7
34,78989,19170204,1,—,7
35,78989,19170205,1,—,7
36,78989,19170206,1,—,7
37,78989,19170207,1,—,7
38,78989,19170208,1,—,7
39,78989,19170209,1,—,7
40,78989,19170210,1,—,7
41,78989,19170211,1,—,7
42,78989,19170212,1,—,7
43,78989,19170213,1,—,7
44,78989,19170214,1,—,7
45,78989,19170215,1,—,7
46,78989,19170216,1,—,7
47,78989,19170217,1,—,7
48,78989,19170218,1,—,7
49,78989,19170219,1,—,7
50,78989,19170220,1,—,7
51,78989,19170221,1,—,7
52,78989,19170222,1,—,7
53,78989,19170223,1,—,7
54,78989,19170224,1,—,7
55,78989,19170225,1,—,7
56,78989,19170226,1,—,7
57,78989,19170227,1,—,7
58,78989,19170228,1,—,7
59,78989,19170301,1,—,7
60,78989,19170302,1,—,7
61,78989,19170303,1,—,7
62,78989,19170304,1,—,7
63,78989,19170305,1,—,7
64,78989,19170306,1,—,7
65,78989,19170307,1,—,7
66,78989,19170308,1,—,7
67,78989,19170309,1,—,7
68,78989,19170310,1,—,7
69,78989,19170311,1,—,7
70,78989,19170312,1,—,7
71,78989,19170313,1,—,7
72,78989,19170314,1,—,7
73,78989,19170315,1,—,7
74,78989,19170316,1,—,7
75,78989,19170317,1,—,7
76,78989,19170318,1,—,7
77,78989,19170319,1,—,7
78,78989,19170320,1,—,7
79,78989,19170321,1,—,7
80,78989,19170322,1,—,7
81,78989,19170323,1,—,7
82,78989,19170324,1,—,7
83,78989,19170325,1,—,7
84,78989,19170326,1,—,7
85,78989,19170327,1,—,7
86,78989,19170328,1,—,7
87,78989,19170329,1,—,7
88,78989,19170330,1,—,7
89,78989,19170331,1,—,7
90,78989,19170401,1,—,7
91,78989,19170402,1,—,7
92,78989,19170403,1,—,7
93,78989,19170404,1,—,7
94,78989,19170405,1,—,7
95,78989,19170406,1,—,7
96,78989,19170407,1,—,7
97,78989,19170408,1,—,7
98,78989,19170409,1,—,7
99,78989,19170410,1,—,7
100,78989,19170411,1,—,7
101,78989,19170412,1,—,7
102,78989,19170413,1,—,7
103,78989,19170414,1,—,7
104,78989,19170415,1,—,7
105,78989,19170416,1,—,7
106,78989,19170417,1,—,7
107,78989,19170418,1,—,7
108,78989,19170419,1,—,7
109,78989,19170420,1,—,7
110,78989,19170421,1,—,7
111,78989,19170422,1,—,7
112,78989,19170423,1,—,7
113,78989,19170424,1,—,7
114,78989,19170425,1,—,7
115,78989,19170426,1,—,7
116,78989,19170427,1,—,7
117,78989,19170428,1,—,7
118,78989,19170429,1,—,7
119,78989,19170430,1,—,7
120,78989,19170501,1,—,7
121,78989,19170502,1,—,7
122,78989,19170503,1,—,7
123,78989,19170504,1,—,7
124,78989,19170505,1,—,7
125,78989,19170506,1,—,7
126,78989,19170507,1,—,7
127,78989,19170508,1,—,7
128,78989,19170509,1,—,7
129,78989,19170510,1,—,7
130,78989,19170511,1,—,7
131,78989,19170512,1,—,7
132,78989,19170513,1,—,7
133,78989,19170514,1,—,7
134,78989,19170515,1,—,7
135,78989,19170516,1,—,7
136,78989,19170517,1,—,7
137,78989,19170518,1,—,7
138,78989,19170519,1,—,7
139,78989,19170520,1,—,7
140,78989,19170521,1,—,7
141,78989,19170522,1,—,7
142,78989,19170523,1,—,7
143,78989,19170524,1,—,7
144,78989,19170525,1,—,7
145,78989,19170526,1,—,7
146,78989,19170527,1,—,7
147,78989,19170528,1,—,7
148,78989,19170529,1,—,7
149,78989,19170530,1,—,7
150,78989,19170531,1,—,7
151,78989,19170601,1,—,7
152,78989,19170602,1,—,7
153,78989,19170603,1,—,7
154,78989,19170604,1,—,7
155,78989,19170605,1,—,7
156,78989,19170606,1,—,7
157,78989,19170607,1,—,7
158,78989,19170608,1,—,7
159,78989,19170609,1,—,7
160,78989,19170610,1,—,7
161,78989,19170611,1,—,7
162,78989,19170612,1,—,7
163,78989,19170613,1,—,7
164,78989,19170614,1,—,7
165,78989,19170615,1,—,7
166,78989,19170616,1,3.3,0
167,78989,19170617,1,0,0
168,78989,19170618,1,0,0
169,78989,19170619,1,0,0
170,78989,19170620,1,0,0
171,78989,19170621,1,1.5,0
172,78989,19170622,1,0,0
173,78989,19170623,1,0,0
174,78989,19170624,1,0,0
175,78989,19170625,1,0,0
176,78989,19170626,1,0,0
177,78989,19170627,1,0,0
178,78989,19170628,1,0,0
179,78989,19170629,1,0,0
180,78989,19170630,1,0.5,0
181,78989,19170701,1,0,0
182,78989,19170702,1,13,0
183,78989,19170703,1,0,0
184,78989,19170704,1,1,0
185,78989,19170705,1,0,0
186,78989,19170706,1,15.2,0
187,78989,19170707,1,1.3,0
188,78989,19170708,1,2.5,0
189,78989,19170709,1,0,0
190,78989,19170710,1,0,0
191,78989,19170711,1,0,0
192,78989,19170712,1,0,0
193,78989,19170713,1,4.3,0
194,78989,19170714,1,1,0
195,78989,19170715,1,0,0
196,78989,19170716,1,0,0
197,78989,19170717,1,0,0
198,78989,19170718,1,1.3,0
199,78989,19170719,1,1.3,0
200,78989,19170720,1,0,0
201,78989,19170721,1,0,0
202,78989,19170722,1,2,0
203,78989,19170723,1,0.3,0
204,78989,19170724,1,0,0
205,78989,19170725,1,5.8,0
206,78989,19170726,1,3.8,0
207,78989,19170727,1,1,0
208,78989,19170728,1,0,0
209,78989,19170729,1,0,0
210,78989,19170730,1,0,0
211,78989,19170731,1,0,0
212,78989,19170801,1,0,0
213,78989,19170802,1,0,0
214,78989,19170803,1,0,0
215,78989,19170804,1,0,0
216,78989,19170805,1,0,0
217,78989,19170806,1,0,0
218,78989,19170807,1,0,0
219,78989,19170808,1,0,0
220,78989,19170809,1,1.8,0
221,78989,19170810,1,0,0
222,78989,19170811,1,0,0
223,78989,19170812,1,1.8,0
224,78989,19170813,1,0,0
225,78989,19170814,1,0,0
226,78989,19170815,1,0,0
227,78989,19170816,1,2,0
228,78989,19170817,1,0.5,0
229,78989,19170818,1,0,0
230,78989,19170819,1,0,0
231,78989,19170820,1,1.8,0
232,78989,19170821,1,1.3,0
233,78989,19170822,1,0,0
234,78989,19170823,1,4.8,0
235,78989,19170824,1,0,0
236,78989,19170825,1,0,0
237,78989,19170826,1,0,0
238,78989,19170827,1,0,0
239,78989,19170828,1,0,0
240,78989,19170829,1,0,0
241,78989,19170830,1,0,0
242,78989,19170831,1,0,0
243,78989,19170901,1,0,0
244,78989,19170902,1,0,0
245,78989,19170903,1,0.8,0
246,78989,19170904,1,0,0
247,78989,19170905,1,0,0
248,78989,19170906,1,0,0
249,78989,19170907,1,0.3,0
250,78989,19170908,1,0,0
251,78989,19170909,1,0,0
252,78989,19170910,1,0,0
253,78989,19170911,1,0,0
254,78989,19170912,1,2.5,0
255,78989,19170913,1,0,0
256,78989,19170914,1,0,0
257,78989,19170915,1,27.9,0
258,78989,19170916,1,10.7,0
259,78989,19170917,1,0,0
260,78989,19170918,1,0.8,0
261,78989,19170919,1,2,0
262,78989,19170920,1,0,0
263,78989,19170921,1,0,0
264,78989,19170922,1,0,0
265,78989,19170923,1,0,0
266,78989,19170924,1,0,0
267,78989,19170925,1,0,0
268,78989,19170926,1,0,0
269,78989,19170927,1,0,0
270,78989,19170928,1,0,0
271,78989,19170929,1,0,0
272,78989,19170930,1,0,0
273,78989,19171001,1,0,0
274,78989,19171002,1,0,0
275,78989,19171003,1,0,0
276,78989,19171004,1,0,0
277,78989,19171005,1,0,0
278,78989,19171006,1,8.9,0
279,78989,19171007,1,0,0
280,78989,19171008,1,0,0
281,78989,19171009,1,0.8,0
282,78989,19171010,1,0,0
283,78989,19171011,1,0,0
284,78989,19171012,1,0,0
285,78989,19171013,1,0,0
286,78989,19171014,1,0,0
287,78989,19171015,1,0,0
288,78989,19171016,1,0,0
289,78989,19171017,1,0,0
290,78989,19171018,1,0,0
291,78989,19171019,1,0,0
292,78989,19171020,1,0,0
293,78989,19171021,1,0,0
