,Stn,Datum,Tijd,P,qP,Tn,qTn,Tx,qTx
0,81,19200101,8.0,749,0,—,7,—,7
1,81,19200101,14.0,748,0,—,7,—,7
2,81,19200101,24.0,—,7,25,0,27,0
3,81,19200102,8.0,749.5,0,—,7,—,7
4,81,19200102,14.0,748,0,—,7,—,7
5,81,19200102,24.0,—,7,25.8,0,28,0
6,81,19200103,8.0,748.3,0,—,7,—,7
7,81,19200103,14.0,748,0,—,7,—,7
8,81,19200103,24.0,—,7,25.5,0,29,0
9,81,19200104,8.0,748.5,0,—,7,—,7
10,81,19200104,14.0,748.5,0,—,7,—,7
11,81,19200104,24.0,—,7,25.5,0,29,0
12,81,19200105,8.0,748.2,0,—,7,—,7
13,81,19200105,14.0,747.7,0,—,7,—,7
14,81,19200105,24.0,—,7,25.5,0,28.3,0
15,81,19200106,8.0,748,0,—,7,—,7
16,81,19200106,14.0,747.5,0,—,7,—,7
17,81,19200106,24.0,—,7,23,0,23.5,0
18,81,19200107,8.0,749,0,—,7,—,7
19,81,19200107,14.0,747.5,0,—,7,—,7
20,81,19200107,24.0,—,7,23,0,25,0
21,81,19200108,8.0,749,0,—,7,—,7
22,81,19200108,14.0,748,0,—,7,—,7
23,81,19200108,24.0,—,7,22.5,0,25,0
24,81,19200109,8.0,748.5,0,—,7,—,7
25,81,19200109,14.0,747.5,0,—,7,—,7
26,81,19200109,24.0,—,7,23,0,25,0
27,81,19200110,8.0,748,0,—,7,—,7
28,81,19200110,14.0,746.8,0,—,7,—,7
29,81,19200110,24.0,—,7,23,0,25.5,0
30,81,19200111,8.0,748,0,—,7,—,7
31,81,19200111,14.0,747,0,—,7,—,7
32,81,19200111,24.0,—,7,24,0,26,0
33,81,19200112,8.0,747.4,0,—,7,—,7
34,81,19200112,14.0,747.1,0,—,7,—,7
35,81,19200112,24.0,—,7,24,0,27,0
36,81,19200113,8.0,749,0,—,7,—,7
37,81,19200113,14.0,748.6,0,—,7,—,7
38,81,19200113,24.0,—,7,24,0,27,0
39,81,19200114,8.0,749,0,—,7,—,7
40,81,19200114,14.0,747.5,0,—,7,—,7
41,81,19200114,24.0,—,7,24,0,27,0
42,81,19200115,8.0,749,0,—,7,—,7
43,81,19200115,14.0,747.7,0,—,7,—,7
44,81,19200115,24.0,—,7,24,0,25,0
45,81,19200116,8.0,749,0,—,7,—,7
46,81,19200116,14.0,748,0,—,7,—,7
47,81,19200116,24.0,—,7,24,0,27,0
48,81,19200117,8.0,750,0,—,7,—,7
49,81,19200117,14.0,749.7,0,—,7,—,7
50,81,19200117,24.0,—,7,24,0,25.5,0
51,81,19200118,8.0,750,0,—,7,—,7
52,81,19200118,14.0,749.2,0,—,7,—,7
53,81,19200118,24.0,—,7,24,0,26,0
54,81,19200119,8.0,750,0,—,7,—,7
55,81,19200119,14.0,749,0,—,7,—,7
56,81,19200119,24.0,—,7,23.8,0,26.8,0
57,81,19200120,8.0,750,0,—,7,—,7
58,81,19200120,14.0,749,0,—,7,—,7
59,81,19200120,24.0,—,7,23.3,0,26,0
60,81,19200121,8.0,751,0,—,7,—,7
61,81,19200121,14.0,749,0,—,7,—,7
62,81,19200121,24.0,—,7,23,0,25,0
63,81,19200122,8.0,750.7,0,—,7,—,7
64,81,19200122,14.0,749,0,—,7,—,7
65,81,19200122,24.0,—,7,23,0,24,0
66,81,19200123,8.0,750.6,0,—,7,—,7
67,81,19200123,14.0,749.5,0,—,7,—,7
68,81,19200123,24.0,—,7,23.5,0,25.5,0
69,81,19200124,8.0,750,0,—,7,—,7
70,81,19200124,14.0,749,0,—,7,—,7
71,81,19200124,24.0,—,7,24,0,27,0
72,81,19200125,8.0,750,0,—,7,—,7
73,81,19200125,14.0,749,0,—,7,—,7
74,81,19200125,24.0,—,7,24,0,27,0
75,81,19200126,8.0,750,0,—,7,—,7
76,81,19200126,14.0,749,0,—,7,—,7
77,81,19200126,24.0,—,7,23,0,25,0
78,81,19200127,8.0,750,0,—,7,—,7
79,81,19200127,14.0,749.5,0,—,7,—,7
80,81,19200127,24.0,—,7,24,0,25.8,0
81,81,19200128,8.0,750,0,—,7,—,7
82,81,19200128,14.0,748.7,0,—,7,—,7
83,81,19200128,24.0,—,7,23.5,0,26,0
84,81,19200129,8.0,749,0,—,7,—,7
85,81,19200129,14.0,748.5,0,—,7,—,7
86,81,19200129,24.0,—,7,23.8,0,27.5,0
87,81,19200130,8.0,748.6,0,—,7,—,7
88,81,19200130,14.0,747.5,0,—,7,—,7
89,81,19200130,24.0,—,7,23,0,23.8,0
90,81,19200131,8.0,748,0,—,7,—,7
91,81,19200131,14.0,747.2,0,—,7,—,7
92,81,19200131,24.0,—,7,24,0,27.5,0
93,81,19200201,8.0,747,0,—,7,—,7
94,81,19200201,14.0,746.5,0,—,7,—,7
95,81,19200201,24.0,—,7,24,0,26,0
96,81,19200202,8.0,747.7,0,—,7,—,7
97,81,19200202,14.0,747.2,0,—,7,—,7
98,81,19200202,24.0,—,7,24,0,26.5,0
99,81,19200203,8.0,748,0,—,7,—,7
100,81,19200203,14.0,747,0,—,7,—,7
101,81,19200203,24.0,—,7,24,0,26.8,0
102,81,19200204,8.0,747,0,—,7,—,7
103,81,19200204,14.0,746.5,0,—,7,—,7
104,81,19200204,24.0,—,7,23.3,0,27,0
105,81,19200205,8.0,746,0,—,7,—,7
106,81,19200205,14.0,745.5,0,—,7,—,7
107,81,19200205,24.0,—,7,23.8,0,24,0
108,81,19200206,8.0,746,0,—,7,—,7
109,81,19200206,14.0,745,0,—,7,—,7
110,81,19200206,24.0,—,7,23.8,0,25.8,0
111,81,19200207,8.0,746.7,0,—,7,—,7
112,81,19200207,14.0,746.5,0,—,7,—,7
113,81,19200207,24.0,—,7,24,0,27,0
114,81,19200208,8.0,747.3,0,—,7,—,7
115,81,19200208,14.0,746.5,0,—,7,—,7
116,81,19200208,24.0,—,7,24,0,27,0
117,81,19200209,8.0,747.4,0,—,7,—,7
118,81,19200209,14.0,746.8,0,—,7,—,7
119,81,19200209,24.0,—,7,24,0,27,0
120,81,19200210,8.0,748,0,—,7,—,7
121,81,19200210,14.0,747,0,—,7,—,7
122,81,19200210,24.0,—,7,24,0,26,0
123,81,19200211,8.0,747.5,0,—,7,—,7
124,81,19200211,14.0,746.7,0,—,7,—,7
125,81,19200211,24.0,—,7,23,0,25,0
126,81,19200212,8.0,748.5,0,—,7,—,7
127,81,19200212,14.0,747.7,0,—,7,—,7
128,81,19200212,24.0,—,7,24,0,28,0
129,81,19200213,8.0,750,0,—,7,—,7
130,81,19200213,14.0,749.5,0,—,7,—,7
131,81,19200213,24.0,—,7,24.5,0,27,0
132,81,19200214,8.0,750,0,—,7,—,7
133,81,19200214,14.0,748.2,0,—,7,—,7
134,81,19200214,24.0,—,7,23,0,26,0
135,81,19200215,8.0,749,0,—,7,—,7
136,81,19200215,14.0,748,0,—,7,—,7
137,81,19200215,24.0,—,7,24,0,26,0
138,81,19200216,8.0,748,0,—,7,—,7
139,81,19200216,14.0,747.2,0,—,7,—,7
140,81,19200216,24.0,—,7,24.5,0,28,0
141,81,19200217,8.0,747,0,—,7,—,7
142,81,19200217,14.0,746.9,0,—,7,—,7
143,81,19200217,24.0,—,7,24,0,27,0
144,81,19200218,8.0,748,0,—,7,—,7
145,81,19200218,14.0,747.3,0,—,7,—,7
146,81,19200218,24.0,—,7,24.5,0,27,0
147,81,19200219,8.0,747.2,0,—,7,—,7
148,81,19200219,14.0,746.9,0,—,7,—,7
149,81,19200219,24.0,—,7,24,0,27,0
150,81,19200220,8.0,749,0,—,7,—,7
151,81,19200220,14.0,748,0,—,7,—,7
152,81,19200220,24.0,—,7,24,0,27,0
153,81,19200221,8.0,748,0,—,7,—,7
154,81,19200221,14.0,747.6,0,—,7,—,7
155,81,19200221,24.0,—,7,24.5,0,27.3,0
156,81,19200222,8.0,745,0,—,7,—,7
157,81,19200222,14.0,744,0,—,7,—,7
158,81,19200222,24.0,—,7,23,0,24,0
159,81,19200223,8.0,744,0,—,7,—,7
160,81,19200223,14.0,743.6,0,—,7,—,7
161,81,19200223,24.0,—,7,23,0,26,0
162,81,19200224,8.0,746,0,—,7,—,7
163,81,19200224,14.0,745.7,0,—,7,—,7
164,81,19200224,24.0,—,7,24,0,27.5,0
165,81,19200225,8.0,747.2,0,—,7,—,7
166,81,19200225,14.0,747,0,—,7,—,7
