,Stn,Datum,Tijd,P,qP,T,qT
0,81,19270101,7.45,756.4,0,23,0
1,81,19270101,13.45,756.0,0,27,0
2,81,19270101,19.45,756.8,0,24,0
3,81,19270102,7.45,756.8,0,24,0
4,81,19270102,13.45,756.2,0,29,0
5,81,19270102,19.45,756.6,0,26,0
6,81,19270103,7.45,757.2,0,25,0
7,81,19270103,13.45,756.8,0,28,0
8,81,19270103,19.45,757.2,0,25,0
9,81,19270104,7.45,757.8,0,24,0
10,81,19270104,13.45,756.8,0,28,0
11,81,19270104,19.45,757.2,0,25,0
12,81,19270105,7.45,756.8,0,24,0
13,81,19270105,13.45,756.2,0,29,0
14,81,19270105,19.45,756.6,0,26,0
15,81,19270106,7.45,756.7,0,25,0
16,81,19270106,13.45,756.2,0,29,0
17,81,19270106,19.45,756.6,0,26,0
18,81,19270107,7.45,755.7,0,25,0
19,81,19270107,13.45,755.2,0,29,0
20,81,19270107,19.45,755.6,0,26,0
21,81,19270108,7.45,755.4,0,23,0
22,81,19270108,13.45,754.6,0,26,0
23,81,19270108,19.45,754.8,0,24,0
24,81,19270109,7.45,755.4,0,23,0
25,81,19270109,13.45,755.2,0,29,0
26,81,19270109,19.45,755.6,0,26,0
27,81,19270110,7.45,756.8,0,24,0
28,81,19270110,13.45,756.2,0,25,0
29,81,19270110,19.45,756.7,0,25,0
30,81,19270111,7.45,757.2,0,25,0
31,81,19270111,13.45,756.7,0,29,0
32,81,19270111,19.45,757.2,0,25,0
33,81,19270112,7.45,757.7,0,25,0
34,81,19270112,13.45,756.7,0,29,0
35,81,19270112,19.45,757.2,0,25,0
36,81,19270113,7.45,756.8,0,24,0
37,81,19270113,13.45,755.6,0,26,0
38,81,19270113,19.45,755.7,0,25,0
39,81,19270114,7.45,755.8,0,24,0
40,81,19270114,13.45,754.3,0,28,0
41,81,19270114,19.45,754.6,0,26,0
42,81,19270115,7.45,755.3,0,24,0
43,81,19270115,13.45,755.5,0,27,0
44,81,19270115,19.45,755.6,0,26,0
45,81,19270116,7.45,755.7,0,25,0
46,81,19270116,13.45,755.3,0,28,0
47,81,19270116,19.45,755.6,0,26,0
48,81,19270117,7.45,756.2,0,25,0
49,81,19270117,13.45,755.8,0,28,0
50,81,19270117,19.45,755.6,0,26,0
51,81,19270118,7.45,755.2,0,25,0
52,81,19270118,13.45,755.3,0,28,0
53,81,19270118,19.45,755.6,0,26,0
54,81,19270119,7.45,756.3,0,24,0
55,81,19270119,13.45,755.6,0,26,0
56,81,19270119,19.45,755.6,0,26,0
57,81,19270120,7.45,755.8,0,24,0
58,81,19270120,13.45,755.6,0,26,0
59,81,19270120,19.45,755.6,0,26,0
60,81,19270121,7.45,755.8,0,24,0
61,81,19270121,13.45,755.6,0,26,0
62,81,19270121,19.45,755.7,0,25,0
63,81,19270122,7.45,756.2,0,24,0
64,81,19270122,13.45,755.1,0,26,0
65,81,19270122,19.45,755.3,0,24,0
66,81,19270123,7.45,755.8,0,24,0
67,81,19270123,13.45,755.6,0,26,0
68,81,19270123,19.45,755.3,0,24,0
69,81,19270124,7.45,755.9,0,23,0
70,81,19270124,13.45,754.3,0,28,0
71,81,19270124,19.45,754.8,0,24,0
72,81,19270125,7.45,756.1,0,22,0
73,81,19270125,13.45,755.6,0,26,0
74,81,19270125,19.45,755.8,0,24,0
75,81,19270126,7.45,756.8,0,24,0
76,81,19270126,13.45,756.6,0,26,0
77,81,19270126,19.45,756.8,0,24,0
78,81,19270127,7.45,756.3,0,24,0
79,81,19270127,13.45,755.6,0,26,0
80,81,19270127,19.45,755.8,0,24,0
81,81,19270128,7.45,756.3,0,24,0
82,81,19270128,13.45,755.5,0,27,0
83,81,19270128,19.45,755.8,0,24,0
84,81,19270129,7.45,755.4,0,28,0
85,81,19270129,13.45,754.6,0,26,0
86,81,19270129,19.45,754.8,0,24,0
87,81,19270130,7.45,754.8,0,24,0
88,81,19270130,13.45,755.0,0,27,0
89,81,19270130,19.45,754.8,0,24,0
90,81,19270131,7.45,755.3,0,24,0
91,81,19270131,13.45,754.8,0,28,0
92,81,19270131,19.45,755.8,0,24,0
93,81,19270201,7.45,756.4,0,23,0
94,81,19270201,13.45,755.3,0,24,0
95,81,19270201,19.45,755.9,0,23,0
96,81,19270202,7.45,756.3,0,24,0
97,81,19270202,13.45,755.7,0,23,0
98,81,19270202,19.45,756.7,0,25,0
99,81,19270203,7.45,757.3,0,24,0
100,81,19270203,13.45,757.1,0,26,0
101,81,19270203,19.45,757.2,0,25,0
102,81,19270204,7.45,757.3,0,24,0
103,81,19270204,13.45,756.3,0,28,0
104,81,19270204,19.45,756.7,0,25,0
105,81,19270205,7.45,757.4,0,23,0
106,81,19270205,13.45,755.7,0,25,0
107,81,19270205,19.45,756.7,0,25,0
108,81,19270206,7.45,757.4,0,23,0
109,81,19270206,13.45,755.7,0,25,0
110,81,19270206,19.45,756.8,0,24,0
111,81,19270207,7.45,757.8,0,24,0
112,81,19270207,13.45,756.2,0,25,0
113,81,19270207,19.45,756.3,0,24,0
114,81,19270208,7.45,756.3,0,24,0
115,81,19270208,13.45,756.2,0,25,0
116,81,19270208,19.45,756.3,0,24,0
117,81,19270209,7.45,756.9,0,23,0
118,81,19270209,13.45,756.6,0,26,0
119,81,19270209,19.45,756.8,0,24,0
120,81,19270210,7.45,756.9,0,23,0
121,81,19270210,13.45,756.3,0,28,0
122,81,19270210,19.45,756.8,0,24,0
123,81,19270211,7.45,756.8,0,24,0
124,81,19270211,13.45,756.3,0,28,0
125,81,19270211,19.45,757.7,0,25,0
126,81,19270212,7.45,758.3,0,24,0
127,81,19270212,13.45,758.0,0,27,0
128,81,19270212,19.45,757.8,0,24,0
129,81,19270213,7.45,757.8,0,24,0
130,81,19270213,13.45,758.2,0,25,0
131,81,19270213,19.45,758.3,0,24,0
132,81,19270214,7.45,758.9,0,23,0
133,81,19270214,13.45,758.6,0,26,0
134,81,19270214,19.45,758.8,0,24,0
135,81,19270215,7.45,758.9,0,23,0
136,81,19270215,13.45,758.3,0,28,0
137,81,19270215,19.45,758.0,0,25,0
138,81,19270216,7.45,758.3,0,24,0
139,81,19270216,13.45,756.3,0,28,0
140,81,19270216,19.45,756.7,0,25,0
141,81,19270217,7.45,756.4,0,23,0
142,81,19270217,13.45,755.3,0,28,0
143,81,19270217,19.45,755.7,0,25,0
144,81,19270218,7.45,755.9,0,23,0
145,81,19270218,13.45,755.3,0,28,0
146,81,19270218,19.45,756.3,0,24,0
147,81,19270219,7.45,756.9,0,23,0
148,81,19270219,13.45,756.7,0,29,0
149,81,19270219,19.45,757.2,0,25,0
150,81,19270220,7.45,757.3,0,24,0
151,81,19270220,13.45,756.7,0,29,0
152,81,19270220,19.45,757.2,0,25,0
153,81,19270221,7.45,757.8,0,24,0
154,81,19270221,13.45,756.2,0,29,0
155,81,19270221,19.45,757.2,0,25,0
156,81,19270222,7.45,756.9,0,23,0
157,81,19270222,13.45,755.8,0,28,0
158,81,19270222,19.45,756.7,0,25,0
159,81,19270223,7.45,756.9,0,23,0
160,81,19270223,13.45,756.1,0,28,0
161,81,19270223,19.45,756.7,0,25,0
162,81,19270224,7.45,756.8,0,24,0
163,81,19270224,13.45,756.1,0,28,0
164,81,19270224,19.45,756.7,0,25,0
165,81,19270225,7.45,756.3,0,24,0
166,81,19270225,13.45,755.2,0,29,0
167,81,19270225,19.45,755.7,0,25,0
168,81,19270226,7.45,755.8,0,24,0
169,81,19270226,13.45,754.7,0,29,0
170,81,19270226,19.45,755.7,0,25,0
171,81,19270227,7.45,756.7,0,25,0
172,81,19270227,13.45,754.7,0,29,0
173,81,19270227,19.45,755.7,0,25,0
174,81,19270228,7.45,756.2,0,25,0
175,81,19270228,13.45,755.2,0,29,0
176,81,19270228,19.45,755.7,0,25,0
177,81,19270301,7.45,756.7,0,25,0
178,81,19270301,13.45,756.2,0,29,0
179,81,19270301,19.45,755.7,0,25,0
180,81,19270302,7.45,754.7,0,25,0
181,81,19270302,13.45,754.2,0,29,0
182,81,19270302,19.45,754.6,0,26,0
183,81,19270303,7.45,755.2,0,25,0
184,81,19270303,13.45,754.7,0,29,0
185,81,19270303,19.45,755.6,0,26,0
186,81,19270304,7.45,755.8,0,24,0
187,81,19270304,13.45,755.7,0,29,0
188,81,19270304,19.45,756.3,0,28,0
189,81,19270305,7.45,756.7,0,25,0
190,81,19270305,13.45,756.0,0,27,0
191,81,19270305,19.45,756.7,0,25,0
192,81,19270306,7.45,756.4,0,23,0
193,81,19270306,13.45,756.3,0,24,0
194,81,19270306,19.45,755.6,0,22,0
195,81,19270307,7.45,757.1,0,22,0
196,81,19270307,13.45,756.1,0,26,0
197,81,19270307,19.45,756.3,0,24,0
198,81,19270308,7.45,756.9,0,23,0
199,81,19270308,13.45,755.8,0,28,0
200,81,19270308,19.45,756.3,0,24,0
201,81,19270309,7.45,756.4,0,23,0
202,81,19270309,13.45,755.8,0,24,0
203,81,19270309,19.45,756.3,0,24,0
204,81,19270310,7.45,757.4,0,23,0
205,81,19270310,13.45,756.6,0,26,0
206,81,19270310,19.45,756.1,0,26,0
207,81,19270311,7.45,756.3,0,24,0
208,81,19270311,13.45,754.8,0,28,0
209,81,19270311,19.45,754.6,0,26,0
210,81,19270312,7.45,754.2,0,25,0
211,81,19270312,13.45,753.3,0,28,0
212,81,19270312,19.45,753.6,0,26,0
213,81,19270313,7.45,754.3,0,24,0
214,81,19270313,13.45,754.0,0,27,0
215,81,19270313,19.45,754.6,0,26,0
216,81,19270314,7.45,755.3,0,24,0
217,81,19270314,13.45,755.2,0,29,0
218,81,19270314,19.45,755.6,0,26,0
219,81,19270315,7.45,755.2,0,25,0
220,81,19270315,13.45,754.6,0,30,0
221,81,19270315,19.45,755.5,0,27,0
222,81,19270316,7.45,756.7,0,25,0
223,81,19270316,13.45,756.2,0,29,0
224,81,19270316,19.45,756.5,0,27,0
225,81,19270317,7.45,756.7,0,25,0
226,81,19270317,13.45,755.7,0,29,0
227,81,19270317,19.45,756.5,0,27,0
228,81,19270318,7.45,757.2,0,25,0
229,81,19270318,13.45,756.1,0,30,0
230,81,19270318,19.45,756.5,0,27,0
231,81,19270319,7.45,756.2,0,25,0
232,81,19270319,13.45,755.6,0,30,0
233,81,19270319,19.45,756.5,0,27,0
234,81,19270320,7.45,757.2,0,25,0
235,81,19270320,13.45,756.2,0,29,0
236,81,19270320,19.45,756.5,0,27,0
237,81,19270321,7.45,756.2,0,25,0
238,81,19270321,13.45,754.8,0,28,0
239,81,19270321,19.45,755.6,0,26,0
240,81,19270322,7.45,756.2,0,25,0
241,81,19270322,13.45,755.3,0,28,0
242,81,19270322,19.45,755.6,0,26,0
243,81,19270323,7.45,756.7,0,25,0
244,81,19270323,13.45,755.8,0,28,0
245,81,19270323,19.45,756.7,0,26,0
