,Stn,Datum,Niveau,Rd,qRd
0,81,19300101,1,0,0
1,81,19300102,1,14,0
2,81,19300103,1,20,0
3,81,19300104,1,15,0
4,81,19300105,1,40,0
5,81,19300106,1,65,0
6,81,19300107,1,0,0
7,81,19300108,1,0,0
8,81,19300109,1,0,0
9,81,19300110,1,10,0
10,81,19300111,1,205,0
11,81,19300112,1,310,0
12,81,19300113,1,15,0
13,81,19300114,1,58,0
14,81,19300115,1,64,0
15,81,19300116,1,94,0
16,81,19300117,1,42,0
17,81,19300118,1,34,0
18,81,19300119,1,0,0
19,81,19300120,1,46,0
20,81,19300121,1,63,0
21,81,19300122,1,42,0
22,81,19300123,1,84,0
23,81,19300124,1,190,0
24,81,19300125,1,54,0
25,81,19300126,1,68,0
26,81,19300127,1,0,0
27,81,19300128,1,20,0
28,81,19300129,1,0,0
29,81,19300130,1,0,0
30,81,19300131,1,25,0
31,81,19300201,1,0,0
32,81,19300202,1,0,0
33,81,19300203,1,45,0
34,81,19300204,1,0,0
35,81,19300205,1,0,0
36,81,19300206,1,65,0
37,81,19300207,1,0,0
38,81,19300208,1,0,0
39,81,19300209,1,0,0
40,81,19300210,1,45,0
41,81,19300211,1,50,0
42,81,19300212,1,36,0
43,81,19300213,1,54,0
44,81,19300214,1,0,0
45,81,19300215,1,65,0
46,81,19300216,1,0,0
47,81,19300217,1,0,0
48,81,19300218,1,0,0
49,81,19300219,1,0,0
50,81,19300220,1,0,0
51,81,19300221,1,56,0
52,81,19300222,1,0,0
53,81,19300223,1,0,0
54,81,19300224,1,0,0
55,81,19300225,1,0,0
56,81,19300226,1,0,0
57,81,19300227,1,0,0
58,81,19300228,1,23,0
59,81,19300301,1,0,0
60,81,19300302,1,0,0
61,81,19300303,1,0,0
62,81,19300304,1,0,0
63,81,19300305,1,0,0
64,81,19300306,1,65,0
65,81,19300307,1,0,0
66,81,19300308,1,0,0
67,81,19300309,1,0,0
68,81,19300310,1,0,0
69,81,19300311,1,0,0
70,81,19300312,1,0,0
71,81,19300313,1,0,0
72,81,19300314,1,0,0
73,81,19300315,1,0,0
74,81,19300316,1,0,0
75,81,19300317,1,115,0
76,81,19300318,1,0,0
77,81,19300319,1,0,0
78,81,19300320,1,0,0
79,81,19300321,1,0,0
80,81,19300322,1,0,0
81,81,19300323,1,0,0
82,81,19300324,1,0,0
83,81,19300325,1,0,0
84,81,19300326,1,0,0
85,81,19300327,1,0,0
86,81,19300328,1,0,0
87,81,19300329,1,0,0
88,81,19300330,1,0,0
89,81,19300331,1,0,0
90,81,19300401,1,0,0
91,81,19300402,1,0,0
92,81,19300403,1,84,0
93,81,19300404,1,0,0
94,81,19300405,1,21,0
95,81,19300406,1,34,0
96,81,19300407,1,0,0
97,81,19300408,1,21,0
98,81,19300409,1,13,0
99,81,19300410,1,0,0
100,81,19300411,1,0,0
101,81,19300412,1,0,0
102,81,19300413,1,0,0
103,81,19300414,1,54,0
104,81,19300415,1,46,0
105,81,19300416,1,0,0
106,81,19300417,1,0,0
107,81,19300418,1,0,0
108,81,19300419,1,0,0
109,81,19300420,1,0,0
110,81,19300421,1,0,0
111,81,19300422,1,0,0
112,81,19300423,1,0,0
113,81,19300424,1,0,0
114,81,19300425,1,0,0
115,81,19300426,1,0,0
116,81,19300427,1,0,0
117,81,19300428,1,0,0
118,81,19300429,1,0,0
119,81,19300430,1,0,0
120,81,19300501,1,0,0
121,81,19300502,1,0,0
122,81,19300503,1,0,0
123,81,19300504,1,0,0
124,81,19300505,1,0,0
125,81,19300506,1,0,0
126,81,19300507,1,35,0
127,81,19300508,1,40,0
128,81,19300509,1,0,0
129,81,19300510,1,73,0
130,81,19300511,1,0,0
131,81,19300512,1,14,0
132,81,19300513,1,0,0
133,81,19300514,1,0,0
134,81,19300515,1,0,0
135,81,19300516,1,0,0
136,81,19300517,1,20,0
137,81,19300518,1,0,0
138,81,19300519,1,0,0
139,81,19300520,1,0,0
140,81,19300521,1,10,0
141,81,19300522,1,0,0
142,81,19300523,1,0,0
143,81,19300524,1,0,0
144,81,19300525,1,0,0
145,81,19300526,1,20,0
146,81,19300527,1,0,0
147,81,19300528,1,0,0
148,81,19300529,1,0,0
149,81,19300530,1,0,0
150,81,19300531,1,0,0
151,81,19300601,1,0,0
152,81,19300602,1,0,0
153,81,19300603,1,0,0
