,Stn,Datum,Tijd,P,qP
0,73,19430101,8.0,762,0
1,73,19430101,12.0,763,0
2,73,19430101,16.0,761,0
3,73,19430102,8.0,763,0
4,73,19430102,12.0,763,0
5,73,19430102,16.0,762,0
6,73,19430103,8.0,764,0
7,73,19430103,12.0,764,0
8,73,19430103,16.0,763,0
9,73,19430104,8.0,763,0
10,73,19430104,12.0,762,0
11,73,19430104,16.0,762,0
12,73,19430105,8.0,763,0
13,73,19430105,12.0,762,0
14,73,19430105,16.0,761,0
15,73,19430106,8.0,763,0
16,73,19430106,12.0,762,0
17,73,19430106,16.0,761,0
18,73,19430107,8.0,763,0
19,73,19430107,12.0,763,0
20,73,19430107,16.0,762,0
21,73,19430108,8.0,763,0
22,73,19430108,12.0,762,0
23,73,19430108,16.0,760,0
24,73,19430109,8.0,761,0
25,73,19430109,12.0,761,0
26,73,19430109,16.0,760,0
27,73,19430110,8.0,760,0
28,73,19430110,12.0,760,0
29,73,19430110,16.0,759,0
30,73,19430111,8.0,760,0
31,73,19430111,12.0,761,0
32,73,19430111,16.0,760,0
33,73,19430112,8.0,761,0
34,73,19430112,12.0,761,0
35,73,19430112,16.0,760,0
36,73,19430113,8.0,763,0
37,73,19430113,12.0,762,0
38,73,19430113,16.0,760,0
39,73,19430114,8.0,762,0
40,73,19430114,12.0,762,0
41,73,19430114,16.0,761,0
42,73,19430115,8.0,762,0
43,73,19430115,12.0,761,0
44,73,19430115,16.0,761,0
45,73,19430116,8.0,762,0
46,73,19430116,12.0,763,0
47,73,19430116,16.0,762,0
48,73,19430117,8.0,763,0
49,73,19430117,12.0,762,0
50,73,19430117,16.0,761,0
51,73,19430118,8.0,762,0
52,73,19430118,12.0,762,0
53,73,19430118,16.0,761,0
54,73,19430119,8.0,761,0
55,73,19430119,12.0,762,0
56,73,19430119,16.0,761,0
57,73,19430120,8.0,762,0
58,73,19430120,12.0,762,0
59,73,19430120,16.0,761,0
60,73,19430121,8.0,761,0
61,73,19430121,12.0,762,0
62,73,19430121,16.0,761,0
63,73,19430122,8.0,761,0
64,73,19430122,12.0,761,0
65,73,19430122,16.0,760,0
66,73,19430123,8.0,761,0
67,73,19430123,12.0,761,0
68,73,19430123,16.0,760,0
69,73,19430124,8.0,761,0
70,73,19430124,12.0,761,0
71,73,19430124,16.0,760,0
72,73,19430125,8.0,761,0
73,73,19430125,12.0,763,0
74,73,19430125,16.0,762,0
75,73,19430126,8.0,762,0
76,73,19430126,12.0,763,0
77,73,19430126,16.0,762,0
78,73,19430127,8.0,763,0
79,73,19430127,12.0,764,0
80,73,19430127,16.0,762,0
81,73,19430128,8.0,764,0
82,73,19430128,12.0,764,0
83,73,19430128,16.0,763,0
84,73,19430129,8.0,763,0
85,73,19430129,12.0,764,0
