,Stn,Datum,Niveau,Rd,qRd
0,73,19450101,1,0,0
1,73,19450102,1,0,0
2,73,19450103,1,16,0
3,73,19450104,1,38,0
4,73,19450105,1,106,0
5,73,19450106,1,0,0
6,73,19450107,1,81,0
7,73,19450108,1,0,0
8,73,19450109,1,0,0
9,73,19450110,1,0,0
10,73,19450111,1,380,0
11,73,19450112,1,148,0
12,73,19450113,1,0,0
13,73,19450114,1,0,0
14,73,19450115,1,0,0
15,73,19450116,1,0,0
16,73,19450117,1,19,0
17,73,19450118,1,116,0
18,73,19450119,1,0,0
19,73,19450120,1,0,0
20,73,19450121,1,0,0
21,73,19450122,1,0,0
22,73,19450123,1,0,0
23,73,19450124,1,0,0
24,73,19450125,1,0,0
25,73,19450126,1,0,0
26,73,19450127,1,0,0
27,73,19450128,1,0,0
28,73,19450129,1,0,0
29,73,19450130,1,0,0
30,73,19450131,1,0,0
31,73,19450201,1,0,0
32,73,19450202,1,0,0
33,73,19450203,1,0,0
34,73,19450204,1,0,0
35,73,19450205,1,0,0
36,73,19450206,1,18,0
37,73,19450207,1,0,0
38,73,19450208,1,0,0
39,73,19450209,1,21,0
40,73,19450210,1,0,0
41,73,19450211,1,12,0
42,73,19450212,1,0,0
43,73,19450213,1,20,0
44,73,19450214,1,7,0
45,73,19450215,1,0,0
46,73,19450216,1,0,0
47,73,19450217,1,0,0
48,73,19450218,1,0,0
49,73,19450219,1,0,0
50,73,19450220,1,0,0
51,73,19450221,1,0,0
52,73,19450222,1,0,0
53,73,19450223,1,0,0
54,73,19450224,1,0,0
55,73,19450225,1,91,0
56,73,19450226,1,6,0
57,73,19450227,1,38,0
58,73,19450228,1,8,0
59,73,19450301,1,0,0
60,73,19450302,1,0,0
61,73,19450303,1,0,0
62,73,19450304,1,0,0
63,73,19450305,1,0,0
64,73,19450306,1,0,0
65,73,19450307,1,0,0
66,73,19450308,1,12,0
67,73,19450309,1,0,0
68,73,19450310,1,0,0
69,73,19450311,1,0,0
70,73,19450312,1,0,0
71,73,19450313,1,0,0
72,73,19450314,1,0,0
73,73,19450315,1,50,0
74,73,19450316,1,0,0
75,73,19450317,1,0,0
76,73,19450318,1,0,0
77,73,19450319,1,0,0
78,73,19450320,1,0,0
79,73,19450321,1,0,0
80,73,19450322,1,0,0
81,73,19450323,1,0,0
82,73,19450324,1,0,0
83,73,19450325,1,0,0
84,73,19450326,1,0,0
85,73,19450327,1,70,0
86,73,19450328,1,0,0
87,73,19450329,1,0,0
88,73,19450330,1,0,0
89,73,19450331,1,0,0
90,73,19450401,1,20,0
91,73,19450402,1,30,0
92,73,19450403,1,0,0
93,73,19450404,1,0,0
94,73,19450405,1,0,0
95,73,19450406,1,0,0
96,73,19450407,1,0,0
97,73,19450408,1,0,0
98,73,19450409,1,0,0
99,73,19450410,1,0,0
100,73,19450411,1,41,0
101,73,19450412,1,4,0
102,73,19450413,1,0,0
103,73,19450414,1,42,0
104,73,19450415,1,74,0
105,73,19450416,1,22,0
106,73,19450417,1,0,0
107,73,19450418,1,0,0
108,73,19450419,1,0,0
109,73,19450420,1,0,0
110,73,19450421,1,0,0
111,73,19450422,1,0,0
112,73,19450423,1,58,0
113,73,19450424,1,0,0
114,73,19450425,1,0,0
115,73,19450426,1,0,0
116,73,19450427,1,0,0
117,73,19450428,1,0,0
