,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,19030101.0,610.0,591.0,602.0,255.0,245.0,10.0,316.0,265.0,51.0,261.0,252.0,9.0,289.0,239.0,222.0,226.0,233.0,92.0,65.0,93.0,ESE,4.0,SE,4.0,NE,6.0,7.0,8.0,0.0,37.0,,
1,19030102.0,617.0,597.0,603.0,256.0,244.0,12.0,307.0,266.0,41.0,260.0,246.0,14.0,325.0,234.0,220.0,233.0,221.0,90.0,71.0,89.0,SE,3.0,NE,6.0,ENE,5.0,8.0,6.0,10.0,,,
2,19030103.0,611.0,594.0,597.0,264.0,253.0,11.0,300.0,267.0,33.0,266.0,254.0,12.0,308.0,245.0,233.0,240.0,234.0,91.0,76.0,90.0,ESE,6.0,NE,7.0,ENE,5.0,5.0,7.0,0.0,19.0,,
3,19030104.0,607.0,593.0,600.0,252.0,243.0,9.0,297.0,265.0,32.0,264.0,251.0,13.0,300.0,232.0,220.0,237.0,229.0,93.0,77.0,89.0,SSE,3.0,NE,7.0,ENE,6.0,5.0,8.0,0.0,,,
4,19030105.0,613.0,606.0,602.0,265.0,255.0,10.0,297.0,264.0,33.0,262.0,248.0,14.0,302.0,245.0,236.0,235.0,224.0,92.0,76.0,89.0,ESE,6.0,E,7.0,NE,5.0,6.0,8.0,0.0,,,
5,19030106.0,627.0,616.0,616.0,252.0,240.0,12.0,298.0,268.0,30.0,258.0,244.0,14.0,303.0,228.0,214.0,243.0,219.0,90.0,78.0,89.0,NNE,4.0,NE,7.0,NNE,5.0,8.0,8.0,0.0,,,
6,19030107.0,633.0,625.0,622.0,255.0,245.0,10.0,284.0,264.0,20.0,254.0,243.0,11.0,300.0,236.0,222.0,243.0,219.0,92.0,85.0,91.0,NE,4.0,NNE,6.0,NE,5.0,7.0,9.0,9.0,,,
7,19030108.0,629.0,620.0,621.0,252.0,242.0,10.0,259.0,247.0,12.0,257.0,245.0,12.0,290.0,235.0,218.0,224.0,221.0,92.0,90.0,90.0,NNE,6.0,N,4.0,NE,5.0,7.0,10.0,0.0,,,
8,19030109.0,634.0,628.0,627.0,229.0,224.0,5.0,248.0,240.0,8.0,242.0,235.0,7.0,271.0,217.0,198.0,217.0,211.0,96.0,93.0,94.0,NE,3.0,NW,5.0,NE,3.0,9.0,10.0,0.0,21.0,,
9,19030110.0,636.0,619.0,618.0,243.0,235.0,8.0,286.0,266.0,20.0,251.0,241.0,10.0,283.0,229.0,210.0,247.0,217.0,93.0,85.0,92.0,NNE,3.0,NE,6.0,ENE,4.0,8.0,8.0,10.0,179.0,,
10,19030111.0,632.0,612.0,616.0,249.0,239.0,10.0,288.0,268.0,20.0,251.0,240.0,11.0,286.0,232.0,214.0,250.0,215.0,92.0,85.0,91.0,NNE,5.0,NE,7.0,NE,6.0,7.0,8.0,0.0,37.0,,
11,19030112.0,623.0,610.0,612.0,244.0,230.0,14.0,309.0,269.0,40.0,263.0,248.0,15.0,296.0,220.0,200.0,239.0,223.0,88.0,72.0,88.0,NE,5.0,E,7.0,NE,6.0,0.0,8.0,5.0,,,
12,19030113.0,624.0,608.0,612.0,240.0,235.0,5.0,287.0,265.0,22.0,254.0,242.0,12.0,309.0,224.0,212.0,243.0,217.0,96.0,83.0,90.0,NE,7.0,ENE,6.0,NE,5.0,10.0,7.0,10.0,28.0,,
13,19030114.0,625.0,611.0,614.0,241.0,234.0,7.0,295.0,268.0,27.0,252.0,240.0,12.0,294.0,219.0,210.0,245.0,214.0,94.0,80.0,90.0,ESE,5.0,ESE,7.0,NE,5.0,9.0,7.0,5.0,37.0,,
14,19030115.0,625.0,614.0,614.0,245.0,232.0,13.0,270.0,256.0,14.0,251.0,241.0,10.0,295.0,217.0,203.0,235.0,217.0,89.0,89.0,92.0,ESE,3.0,NNE,6.0,NE,5.0,3.0,10.0,0.0,,,
15,19030116.0,629.0,620.0,619.0,241.0,234.0,7.0,255.0,245.0,10.0,246.0,238.0,8.0,282.0,228.0,210.0,222.0,214.0,94.0,92.0,93.0,NE,5.0,NNE,7.0,ENE,5.0,10.0,10.0,10.0,13.0,,
16,19030117.0,631.0,614.0,617.0,250.0,242.0,8.0,284.0,260.0,24.0,258.0,244.0,14.0,275.0,226.0,220.0,235.0,219.0,93.0,82.0,89.0,N,4.0,NE,7.0,NNE,6.0,9.0,8.0,0.0,40.0,,
17,19030118.0,625.0,614.0,618.0,242.0,233.0,9.0,285.0,262.0,23.0,251.0,240.0,11.0,286.0,225.0,207.0,239.0,215.0,92.0,82.0,91.0,ESE,3.0,NE,5.0,ENE,4.0,7.0,8.0,0.0,,,
18,19030119.0,630.0,619.0,622.0,236.0,227.0,9.0,299.0,265.0,34.0,253.0,241.0,12.0,294.0,209.0,200.0,236.0,216.0,92.0,75.0,90.0,SE,3.0,NE,6.0,NNE,5.0,8.0,7.0,0.0,6.0,,
19,19030120.0,631.0,621.0,626.0,241.0,225.0,16.0,300.0,267.0,33.0,251.0,237.0,14.0,305.0,202.0,193.0,240.0,209.0,87.0,76.0,88.0,ESE,4.0,NE,6.0,ENE,3.0,7.0,8.0,0.0,,,
20,19030121.0,632.0,622.0,626.0,218.0,210.0,8.0,299.0,264.0,35.0,256.0,242.0,14.0,306.0,181.0,180.0,234.0,216.0,93.0,75.0,89.0,SSE,2.0,NE,7.0,N,3.0,4.0,7.0,0.0,,,
21,19030122.0,631.0,625.0,623.0,230.0,222.0,8.0,274.0,262.0,12.0,254.0,241.0,13.0,299.0,195.0,194.0,246.0,215.0,93.0,90.0,90.0,NE,3.0,NNE,6.0,NE,5.0,0.0,8.0,0.0,,,
22,19030123.0,626.0,610.0,613.0,227.0,221.0,6.0,297.0,264.0,33.0,251.0,240.0,11.0,294.0,204.0,194.0,235.0,215.0,95.0,76.0,91.0,S,3.0,NNE,6.0,ENE,3.0,8.0,7.0,0.0,,,
23,19030124.0,631.0,616.0,617.0,215.0,208.0,7.0,313.0,273.0,40.0,248.0,239.0,9.0,305.0,183.0,178.0,245.0,215.0,94.0,72.0,92.0,WNW,2.0,NW,5.0,NE,5.0,6.0,7.0,0.0,,,
24,19030125.0,629.0,620.0,623.0,218.0,210.0,8.0,306.0,263.0,43.0,252.0,240.0,12.0,313.0,189.0,180.0,228.0,214.0,93.0,69.0,90.0,N,4.0,NE,5.0,NNE,4.0,0.0,7.0,0.0,,,
25,19030126.0,635.0,621.0,626.0,235.0,226.0,9.0,303.0,264.0,39.0,256.0,242.0,14.0,323.0,194.0,199.0,232.0,216.0,92.0,72.0,89.0,NE,4.0,ENE,6.0,NE,4.0,3.0,7.0,0.0,,,
26,19030127.0,635.0,626.0,623.0,232.0,225.0,7.0,296.0,262.0,34.0,249.0,236.0,13.0,305.0,200.0,198.0,232.0,212.0,94.0,75.0,91.0,NE,3.0,NNE,6.0,NE,5.0,4.0,7.0,0.0,,,
27,19030128.0,632.0,625.0,625.0,222.0,216.0,6.0,278.0,261.0,17.0,248.0,239.0,9.0,297.0,195.0,188.0,241.0,215.0,95.0,87.0,92.0,ENE,5.0,NE,6.0,NE,4.0,5.0,9.0,0.0,,,
28,19030129.0,625.0,617.0,614.0,228.0,220.0,8.0,262.0,252.0,10.0,244.0,235.0,9.0,279.0,195.0,192.0,232.0,210.0,93.0,92.0,92.0,NNE,4.0,NE,5.0,NE,3.0,3.0,10.0,5.0,4.0,,
