,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
0,19040101.0,610.0,588.0,578.0,262.0,242.0,20.0,294.0,269.0,25.0,245.0,241.0,4.0,321.0,218.0,212.0,248.0,221.0,84.0,81.0,97.0,E,4.0,S,5.0,,0.0,6.0,6.0,0.0,,,
1,19040102.0,606.0,597.0,601.0,240.0,232.0,8.0,235.0,226.0,9.0,238.0,229.0,9.0,313.0,199.0,206.0,199.0,202.0,93.0,92.0,92.0,,0.0,ESE,3.0,E,5.0,5.0,8.0,9.0,,,
2,19040103.0,621.0,605.0,609.0,236.0,224.0,12.0,277.0,264.0,13.0,248.0,241.0,7.0,282.0,194.0,194.0,248.0,219.0,90.0,90.0,94.0,,0.0,N,4.0,,0.0,8.0,9.0,10.0,270.0,,
3,19040104.0,625.0,612.0,611.0,248.0,241.0,7.0,292.0,259.0,33.0,259.0,239.0,20.0,292.0,220.0,219.0,228.0,208.0,94.0,76.0,84.0,E,2.0,NE,5.0,E,3.0,9.0,7.0,10.0,20.0,,
4,19040105.0,615.0,607.0,612.0,243.0,240.0,3.0,278.0,253.0,25.0,251.0,239.0,12.0,293.0,226.0,220.0,224.0,213.0,97.0,80.0,90.0,ESE,3.0,N,4.0,ENE,4.0,8.0,9.0,10.0,23.0,,
5,19040106.0,617.0,612.0,611.0,242.0,233.0,9.0,290.0,249.0,41.0,246.0,238.0,8.0,280.0,232.0,207.0,206.0,214.0,92.0,67.0,93.0,ENE,4.0,NNE,5.0,E,4.0,8.0,7.0,0.0,,,
6,19040107.0,620.0,608.0,611.0,232.0,227.0,5.0,280.0,257.0,23.0,251.0,235.0,16.0,305.0,221.0,202.0,231.0,205.0,96.0,82.0,87.0,,0.0,NNE,4.0,ESE,4.0,8.0,9.0,10.0,,,
7,19040108.0,619.0,607.0,608.0,248.0,235.0,13.0,275.0,249.0,26.0,250.0,242.0,8.0,285.0,232.0,207.0,218.0,220.0,89.0,80.0,93.0,E,4.0,NNE,5.0,ESE,4.0,7.0,8.0,9.0,,,
8,19040109.0,615.0,604.0,604.0,240.0,233.0,7.0,292.0,251.0,41.0,248.0,232.0,16.0,283.0,222.0,208.0,211.0,202.0,94.0,69.0,87.0,,0.0,ENE,5.0,ESE,4.0,10.0,5.0,10.0,,,
