,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PT 19,TT 8,TT 14,TT 18,TT 19,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,dampdruk 19,RH 8,RH 14,RH 18,RH 19,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,DD 19,FF 19,8,14,18,19,Rd 8,Rd 8.1,Unnamed: 33_level_1
0,19050101.0,624.0,617.0,,612.0,242.0,267.0,,248.0,,,213.0,217.0,,217.0,93.0,83.0,,93.0,ESE,4.0,NE,7.0,,,S,3.0,10.0,10.0,,7.0,175.0,,
1,19050102.0,617.0,614.0,,604.0,241.0,266.0,,251.0,,,212.0,228.0,,213.0,95.0,88.0,,90.0,SSE,3.0,NE,4.0,,,ESE,3.0,10.0,10.0,,8.0,50.0,,
2,19050103.0,616.0,604.0,,599.0,242.0,310.0,,257.0,,,205.0,221.0,,211.0,91.0,66.0,,86.0,SSE,5.0,SSE,6.0,,,E,6.0,6.0,5.0,,6.0,7.0,,
3,19050104.0,623.0,613.0,,605.0,252.0,312.0,,262.0,,,216.0,224.0,,222.0,91.0,66.0,,88.0,S,5.0,E,6.0,,,E,6.0,7.0,6.0,,7.0,5.0,,
4,19050105.0,617.0,605.0,,607.0,266.0,281.0,,256.0,,,212.0,210.0,,204.0,82.0,74.0,,84.0,E,6.0,ENE,7.0,,,ESE,4.0,7.0,8.0,,5.0,,,
5,19050106.0,613.0,617.0,,609.0,246.0,276.0,,255.0,,,203.0,226.0,,224.0,88.0,82.0,,93.0,SSE,4.0,E,5.0,,,SE,5.0,5.0,8.0,,3.0,23.0,,
6,19050107.0,627.0,629.0,,610.0,270.0,291.0,,258.0,,,219.0,208.0,,199.0,83.0,69.0,,81.0,SE,6.0,ENE,6.0,,,SE,5.0,5.0,5.0,,4.0,,,
7,19050108.0,612.0,604.0,,623.0,260.0,310.0,,268.0,,,213.0,221.0,,195.0,85.0,66.0,,75.0,ESE,4.0,SSE,6.0,,,E,6.0,6.0,5.0,,3.0,20.0,,
8,19050109.0,628.0,619.0,,618.0,254.0,284.0,,256.0,,,206.0,203.0,,197.0,85.0,70.0,,81.0,E,6.0,NE,7.0,,,NE,4.0,6.0,5.0,,4.0,,,
