,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 3,FF 3,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 28_level_1
0,19170101.0,617.0,606.0,596.0,238.0,271.0,243.0,276.0,228.0,206.0,227.0,214.0,94.0,85.0,95.0,,,NE,1.0,NNE,2.0,N,1.0,4.0,2.0,1.0,70,,
1,19170102.0,620.0,607.0,596.0,229.0,267.0,245.0,282.0,214.0,193.0,219.0,203.0,93.0,84.0,89.0,,,NE,1.0,NE,2.0,NNE,1.0,4.0,2.0,1.0,16,,
2,19170103.0,611.0,595.0,587.0,228.0,279.0,259.0,279.0,203.0,192.0,232.0,220.0,93.0,83.0,89.0,,,NE,1.0,NNE,1.0,NNE,1.0,1.0,2.0,1.0,3,,
3,19170104.0,611.0,595.0,587.0,246.0,274.0,254.0,284.0,201.0,186.0,231.0,207.0,81.0,85.0,86.0,,,NE,1.0,NNE,3.0,ENE,2.0,1.0,2.0,2.0,6,,
4,19170105.0,611.0,593.0,586.0,234.0,292.0,256.0,297.0,199.0,188.0,234.0,218.0,88.0,78.0,90.0,,,NE,1.0,NNE,1.0,N,1.0,1.0,1.0,1.0,-,,
5,19170106.0,611.0,595.0,587.0,246.0,268.0,252.0,293.0,216.0,197.0,222.0,214.0,86.0,85.0,90.0,,,NE,1.0,NE,1.0,NNE,1.0,1.0,4.0,2.0,-,,
6,19170107.0,608.0,596.0,587.0,239.0,244.0,231.0,284.0,229.0,205.0,214.0,201.0,93.0,94.0,96.0,,,ENE,1.0,N,1.0,NE,1.0,2.0,4.0,6.0,9,,
7,19170108.0,608.0,593.0,587.0,236.0,269.0,252.0,277.0,221.0,200.0,218.0,218.0,92.0,83.0,92.0,,,ESE,1.0,N,2.0,NE,2.0,2.0,2.0,2.0,142,,
8,19170109.0,608.0,596.0,587.0,248.0,261.0,245.0,296.0,218.0,205.0,223.0,203.0,88.0,89.0,89.0,,,ENE,2.0,NE,1.0,NE,2.0,1.0,4.0,2.0,4,,
9,19170110.0,608.0,596.0,588.0,224.0,252.0,250.0,272.0,219.0,194.0,218.0,210.0,96.0,92.0,89.0,,,NE,2.0,ENE,1.0,NE,1.0,6.0,2.0,4.0,-,,
10,19170111.0,617.0,607.0,596.0,236.0,260.0,254.0,265.0,221.0,200.0,223.0,217.0,92.0,90.0,90.0,,,ENE,1.0,ENE,2.0,ENE,1.0,1.0,2.0,2.0,32,,
11,19170112.0,628.0,613.0,607.0,250.0,290.0,254.0,295.0,230.0,210.0,231.0,227.0,89.0,78.0,94.0,,,NE,2.0,NNE,3.0,NE,2.0,1.0,1.0,1.0,104,,
12,19170113.0,628.0,613.0,607.0,243.0,286.0,232.0,291.0,223.0,203.0,232.0,202.0,90.0,80.0,96.0,,,NNE,2.0,NE,2.0,NE,1.0,3.0,1.0,2.0,8,,
13,19170114.0,628.0,613.0,606.0,241.0,290.0,255.0,295.0,221.0,191.0,231.0,226.0,86.0,78.0,93.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,1.0,1.0,96,,
14,19170115.0,617.0,606.0,596.0,234.0,268.0,250.0,293.0,219.0,195.0,218.0,210.0,91.0,83.0,89.0,,,NNE,1.0,NE,2.0,NNE,2.0,3.0,2.0,1.0,3,,
15,19170116.0,629.0,616.0,608.0,226.0,252.0,240.0,282.0,221.0,193.0,212.0,206.0,95.0,89.0,93.0,,,ENE,1.0,ENE,2.0,N,1.0,4.0,2.0,2.0,14,,
16,19170117.0,628.0,616.0,608.0,234.0,264.0,232.0,264.0,224.0,197.0,217.0,200.0,92.0,85.0,95.0,,,NNE,1.0,ESE,3.0,NNE,3.0,4.0,2.0,4.0,6,,
17,19170118.0,629.0,618.0,609.0,224.0,228.0,225.0,268.0,219.0,194.0,197.0,193.0,96.0,95.0,95.0,,,NE,1.0,NE,1.0,NE,1.0,6.0,6.0,4.0,129,,
18,19170119.0,629.0,615.0,607.0,237.0,287.0,235.0,287.0,222.0,208.0,217.0,206.0,96.0,74.0,96.0,,,NE,3.0,ENE,3.0,ENE,2.0,6.0,2.0,2.0,538,,
19,19170120.0,629.0,615.0,607.0,228.0,276.0,254.0,296.0,218.0,195.0,230.0,227.0,95.0,84.0,94.0,,,NE,1.0,NE,2.0,NE,1.0,6.0,2.0,1.0,45,,
20,19170121.0,618.0,606.0,596.0,229.0,289.0,255.0,289.0,209.0,191.0,232.0,226.0,92.0,78.0,93.0,,,NE,1.0,N,2.0,ENE,1.0,3.0,2.0,1.0,35,,
21,19170122.0,617.0,606.0,596.0,242.0,276.0,251.0,291.0,222.0,207.0,230.0,209.0,92.0,84.0,88.0,,,ENE,1.0,ENE,2.0,ENE,1.0,1.0,3.0,2.0,35,,
22,19170123.0,617.0,606.0,596.0,239.0,266.0,255.0,291.0,234.0,209.0,220.0,218.0,95.0,85.0,90.0,,,NE,2.0,NE,2.0,NE,2.0,6.0,2.0,2.0,61,,
23,19170124.0,608.0,595.0,587.0,251.0,280.0,256.0,280.0,236.0,217.0,231.0,226.0,92.0,82.0,93.0,,,NE,3.0,NNE,3.0,NE,2.0,2.0,2.0,2.0,76,,
24,19170125.0,608.0,595.0,587.0,252.0,268.0,253.0,293.0,237.0,220.0,220.0,210.0,93.0,84.0,88.0,,,ESE,2.0,NE,3.0,NE,1.0,1.0,4.0,2.0,2,,
25,19170126.0,608.0,596.0,587.0,238.0,259.0,250.0,284.0,228.0,206.0,224.0,220.0,94.0,90.0,93.0,,,NE,2.0,NE,1.0,NE,1.0,4.0,4.0,4.0,34,,
26,19170127.0,617.0,608.0,597.0,234.0,250.0,240.0,275.0,229.0,201.0,218.0,208.0,94.0,93.0,94.0,,,ENE,1.0,NE,1.0,NNE,1.0,6.0,3.0,2.0,372,,
27,19170128.0,617.0,607.0,597.0,238.0,256.0,245.0,266.0,228.0,208.0,218.0,213.0,95.0,90.0,93.0,,,NE,1.0,NE,1.0,NE,2.0,6.0,4.0,4.0,365,,
28,19170129.0,608.0,597.0,588.0,233.0,235.0,242.0,260.0,223.0,201.0,201.0,213.0,95.0,93.0,95.0,,,N,1.0,NNE,1.0,NNE,1.0,6.0,4.0,4.0,200,,
29,19170130.0,611.0,597.0,588.0,232.0,246.0,231.0,251.0,227.0,202.0,212.0,201.0,96.0,92.0,96.0,,,ESE,1.0,ENE,2.0,NNE,1.0,4.0,6.0,6.0,395,,
30,19170131.0,611.0,597.0,588.0,242.0,253.0,236.0,253.0,227.0,203.0,228.0,205.0,91.0,95.0,95.0,,,NNE,2.0,NNE,1.0,NNE,1.0,4.0,2.0,4.0,151,,
31,,761.6612903225806,760.3677419354839,759.5032258064516,23.71290322580645,26.63225806451613,24.619354838709675,28.093548387096774,22.148387096774194,20.05483870967742,22.193548387096776,21.196774193548386,92.09677419354838,85.80645161290323,92.19354838709677,,,,1.3870967741935485,,1.8064516129032258,,1.3870967741935485,3.2580645161290325,2.6451612903225805,2.4193548387096775,295.1,,
32,19170201.0,609.0,597.0,588.0,231.0,246.0,245.0,261.0,226.0,203.0,212.0,211.0,96.0,90.0,92.0,,,NE,1.0,NE,1.0,NE,1.0,6.0,6.0,4.0,153,,
33,19170202.0,617.0,607.0,597.0,239.0,264.0,236.0,269.0,224.0,213.0,227.0,200.0,97.0,89.0,92.0,,,NE,1.0,NE,1.0,ENE,1.0,2.0,4.0,2.0,247,,
34,19170203.0,617.0,606.0,596.0,234.0,282.0,260.0,282.0,224.0,201.0,230.0,233.0,94.0,83.0,93.0,,,ENE,1.0,NNE,2.0,N,2.0,4.0,2.0,4.0,339,,
35,19170204.0,617.0,607.0,597.0,252.0,262.0,234.0,282.0,237.0,222.0,228.0,207.0,93.0,88.0,97.0,,,N,2.0,NNE,2.0,N,1.0,6.0,4.0,4.0,18,,
36,19170205.0,618.0,613.0,605.0,232.0,292.0,263.0,292.0,222.0,198.0,241.0,236.0,94.0,80.0,93.0,,,NE,2.0,NE,2.0,NE,2.0,4.0,2.0,1.0,177,,
37,19170206.0,639.0,634.0,631.0,234.0,292.0,261.0,292.0,219.0,195.0,241.0,235.0,91.0,80.0,93.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,3.0,2.0,2,,
38,19170207.0,619.0,611.0,601.0,251.0,292.0,260.0,295.0,203.0,198.0,216.0,204.0,84.0,71.0,82.0,,,NE,1.0,NE,3.0,NE,1.0,2.0,2.0,1.0,-,,
