,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19360101.0,608.0,604.0,603.0,260.0,298.0,262.0,297.0,239.0,217.0,206.0,216.0,87.0,66.0,85.0,E,1.0,NNE,2.0,ENE,1.0,6.0,7.0,1.0,0.0,,
1,19360102.0,612.0,605.0,599.0,255.0,296.0,251.0,304.0,225.0,207.0,174.0,188.0,85.0,57.0,80.0,ESE,1.0,ENE,2.0,ENE,1.0,3.0,7.0,5.0,3.0,,
2,19360103.0,607.0,607.0,601.0,236.0,298.0,253.0,304.0,192.0,207.0,198.0,187.0,96.0,63.0,78.0,ENE,1.0,ENE,1.0,NNE,1.0,6.0,5.0,3.0,0.0,,
3,19360104.0,621.0,610.0,605.0,228.0,293.0,259.0,304.0,182.0,203.0,203.0,201.0,98.0,67.0,81.0,Calm,0.0,ENE,2.0,NE,1.0,6.0,8.0,4.0,0.0,,
4,19360105.0,618.0,603.0,601.0,236.0,290.0,258.0,309.0,217.0,207.0,207.0,207.0,96.0,69.0,84.0,E,1.0,NE,2.0,ENE,2.0,9.0,8.0,10.0,90.0,,
5,19360106.0,622.0,614.0,605.0,259.0,296.0,251.0,299.0,222.0,199.0,185.0,200.0,80.0,60.0,84.0,NNE,2.0,ENE,2.0,NNE,1.0,4.0,6.0,10.0,89.0,,
6,19360107.0,620.0,613.0,608.0,242.0,288.0,254.0,306.0,205.0,194.0,185.0,190.0,87.0,63.0,79.0,ENE,1.0,ENE,2.0,NE,1.0,4.0,8.0,4.0,1.0,,
7,19360108.0,618.0,611.0,604.0,230.0,233.0,221.0,299.0,212.0,201.0,205.0,187.0,96.0,96.0,95.0,Calm,0.0,WNW,1.0,NE,1.0,10.0,10.0,10.0,0.0,,
8,19360109.0,619.0,610.0,599.0,227.0,242.0,247.0,247.0,217.0,201.0,213.0,212.0,98.0,95.0,92.0,Calm,0.0,ENE,1.0,Calm,0.0,10.0,10.0,9.0,369.0,,
9,19360110.0,618.0,613.0,600.0,231.0,253.0,252.0,264.0,219.0,205.0,226.0,216.0,97.0,94.0,91.0,SSE,1.0,NNW,1.0,Calm,0.0,10.0,10.0,9.0,177.0,,
