,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 27_level_1
0,19410101.0,611.0,598.0,596.0,263.0,303.0,274.0,312.0,232.0,223.0,219.0,213.0,88.0,68.0,,78.0,E,1.0,ENE,2.0,ENE,1.0,1.0,7.0,2.0,21.0,,
1,19410102.0,610.0,597.0,602.0,263.0,292.0,247.0,312.0,234.0,225.0,224.0,216.0,89.0,74.0,,93.0,ESE,1.0,ENE,1.0,Calm,0.0,8.0,9.0,10.0,0.0,,
2,19410103.0,622.0,614.0,609.0,235.0,245.0,249.0,317.0,226.0,204.0,213.0,209.0,95.0,93.0,,89.0,Calm,0.0,Calm,0.0,Calm,0.0,10.0,10.0,9.0,14.0,,
3,19410104.0,619.0,605.0,606.0,227.0,270.0,268.0,272.0,207.0,194.0,211.0,220.0,95.0,80.0,,84.0,E,1.0,ENE,2.0,ENE,1.0,7.0,9.0,3.0,119.0,,
4,19410105.0,617.0,608.0,603.0,258.0,299.0,269.0,299.0,224.0,219.0,213.0,202.0,89.0,68.0,,77.0,ENE,1.0,ENE,2.0,ENE,1.0,6.0,7.0,2.0,14.0,,
5,19410106.0,617.0,611.0,611.0,264.0,301.0,267.0,309.0,231.0,211.0,204.0,192.0,82.0,64.0,,74.0,E,1.0,NE,2.0,ENE,1.0,1.0,3.0,2.0,4.0,,
6,19410107.0,620.0,609.0,608.0,265.0,295.0,260.0,312.0,241.0,212.0,196.0,198.0,82.0,64.0,,79.0,ENE,1.0,NE,2.0,ENE,1.0,7.0,8.0,9.0,0.0,,
7,19410108.0,621.0,607.0,606.0,262.0,292.0,265.0,308.0,234.0,206.0,194.0,197.0,82.0,64.0,,77.0,ENE,1.0,ENE,2.0,ENE,1.0,8.0,8.0,9.0,10.0,,
8,19410109.0,620.0,609.0,608.0,242.0,292.0,261.0,307.0,226.0,207.0,205.0,197.0,92.0,68.0,,79.0,ENE,1.0,ENE,1.0,ENE,1.0,9.0,9.0,6.0,4.0,,
9,19410110.0,620.0,609.0,603.0,243.0,308.0,269.0,301.0,201.0,203.0,218.0,204.0,90.0,66.0,,77.0,E,1.0,ENE,1.0,ENE,1.0,1.0,9.0,1.0,0.0,,
10,19410111.0,620.0,609.0,600.0,248.0,277.0,273.0,323.0,222.0,217.0,248.0,207.0,93.0,90.0,,77.0,ENE,1.0,ENE,1.0,ENE,1.0,1.0,9.0,8.0,0.0,,
11,19410112.0,624.0,610.0,609.0,250.0,252.0,263.0,308.0,236.0,220.0,228.0,221.0,93.0,96.0,,87.0,Calm,0.0,Calm,0.0,ENE,1.0,10.0,9.0,9.0,30.0,,
