,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 29_level_1
0,19500101.0,603.0,592.0,588.0,,,,245.0,265.0,261.0,290.0,235.0,219.0,232.0,231.0,96.0,90.0,92.0,E,0.0,E,0.0,E,0.0,10.0,9.0,5.0,21.0,,
1,19500102.0,601.0,596.0,591.0,,,,255.0,263.0,264.0,288.0,236.0,211.0,231.0,223.0,87.0,91.0,87.0,E,2.0,E,0.0,E,0.0,1.0,9.0,8.0,78.0,,
2,19500103.0,598.0,583.0,575.0,,,,248.0,297.0,271.0,313.0,229.0,213.0,239.0,220.0,92.0,77.0,83.0,E,0.0,NNE,1.0,NE,1.0,1.0,6.0,6.0,40.0,,
3,19500104.0,599.0,584.0,577.0,,,,256.0,301.0,269.0,311.0,243.0,218.0,224.0,220.0,90.0,70.0,83.0,SE,1.0,ENE,1.0,NE,1.0,6.0,8.0,4.0,1.0,,
4,19500105.0,597.0,591.0,579.0,,,,246.0,283.0,255.0,307.0,237.0,218.0,231.0,228.0,95.0,81.0,94.0,E,0.0,ENE,1.0,E,0.0,8.0,9.0,8.0,0.0,,
5,19500106.0,596.0,590.0,583.0,,,,239.0,261.0,242.0,286.0,235.0,211.0,217.0,211.0,96.0,86.0,94.0,E,0.0,E,0.0,E,0.0,9.0,9.0,8.0,56.0,,
6,19500107.0,594.0,591.0,580.0,,,,235.0,292.0,264.0,267.0,227.0,199.0,239.0,219.0,92.0,79.0,85.0,E,0.0,E,0.0,E,0.0,9.0,7.0,7.0,166.0,,
7,19500108.0,603.0,594.0,593.0,,,,234.0,275.0,260.0,300.0,226.0,203.0,212.0,217.0,95.0,78.0,87.0,E,0.0,W,2.0,E,0.0,5.0,7.0,4.0,280.0,,
8,19500109.0,619.0,609.0,606.0,,,,239.0,293.0,265.0,295.0,228.0,204.0,221.0,222.0,92.0,73.0,86.0,E,0.0,N,2.0,E,0.0,8.0,7.0,9.0,12.0,,
9,19500110.0,623.0,615.0,615.0,,,,252.0,303.0,269.0,303.0,235.0,216.0,223.0,218.0,91.0,69.0,83.0,E,0.0,NNE,2.0,NE,2.0,1.0,5.0,5.0,2.0,,
10,19500111.0,622.0,614.0,603.0,,,,255.0,296.0,266.0,307.0,233.0,222.0,221.0,216.0,92.0,72.0,83.0,NNE,2.0,NNE,2.0,NNE,2.0,2.0,7.0,4.0,0.0,,
11,19500112.0,618.0,609.0,599.0,,,,243.0,288.0,265.0,299.0,234.0,212.0,243.0,214.0,94.0,83.0,83.0,E,0.0,NNW,1.0,NE,1.0,7.0,8.0,4.0,123.0,,
12,19500113.0,613.0,605.0,594.0,,,,249.0,306.0,273.0,294.0,228.0,216.0,221.0,211.0,93.0,68.0,78.0,E,0.0,NE,3.0,NE,2.0,5.0,4.0,3.0,6.0,,
13,19500114.0,608.0,608.0,594.0,,,,258.0,258.0,259.0,309.0,242.0,217.0,219.0,224.0,88.0,89.0,90.0,E,0.0,ENE,1.0,E,0.0,3.0,9.0,3.0,7.0,,
14,19500115.0,603.0,595.0,588.0,,,,246.0,298.0,266.0,295.0,229.0,209.0,210.0,216.0,91.0,67.0,83.0,E,0.0,ENE,3.0,NE,2.0,1.0,7.0,6.0,83.0,,
15,19500116.0,608.0,601.0,594.0,,,,242.0,284.0,256.0,306.0,233.0,196.0,214.0,220.0,88.0,75.0,90.0,E,0.0,NE,3.0,NE,2.0,10.0,9.0,7.0,191.0,,
16,19500117.0,598.0,596.0,579.0,,,,239.0,237.0,236.0,288.0,234.0,201.0,208.0,203.0,91.0,96.0,94.0,NE,2.0,N,1.0,NE,1.0,9.0,10.0,10.0,119.0,,
17,19500118.0,592.0,586.0,575.0,,,,234.0,270.0,243.0,253.0,225.0,199.0,227.0,209.0,93.0,86.0,92.0,E,0.0,NNE,1.0,ENE,2.0,10.0,9.0,7.0,366.0,,
18,19500119.0,591.0,596.0,571.0,,,,232.0,261.0,261.0,283.0,224.0,202.0,221.0,207.0,96.0,88.0,82.0,E,0.0,ENE,1.0,ENE,2.0,9.0,10.0,6.0,120.0,,
19,19500120.0,588.0,586.0,579.0,,,,252.0,287.0,259.0,271.0,234.0,222.0,231.0,210.0,93.0,79.0,85.0,E,0.0,ENE,2.0,E,0.0,1.0,9.0,9.0,26.0,,
20,19500121.0,594.0,591.0,584.0,,,,246.0,281.0,242.0,294.0,238.0,216.0,220.0,207.0,94.0,78.0,92.0,E,0.0,ENE,4.0,E,0.0,10.0,9.0,9.0,28.0,,
21,19500122.0,595.0,587.0,578.0,,,,236.0,297.0,265.0,286.0,229.0,207.0,196.0,206.0,96.0,63.0,80.0,E,0.0,ENE,2.0,NE,2.0,9.0,5.0,2.0,157.0,,
22,19500123.0,593.0,591.0,576.0,,,,252.0,262.0,258.0,299.0,236.0,224.0,232.0,219.0,94.0,92.0,89.0,E,0.0,E,0.0,NE,2.0,9.0,9.0,7.0,0.0,,
23,19500124.0,593.0,591.0,583.0,,,,242.0,263.0,254.0,282.0,235.0,217.0,223.0,215.0,97.0,88.0,90.0,E,0.0,ENE,1.0,ENE,2.0,9.0,9.0,8.0,244.0,,
24,19500125.0,605.0,600.0,591.0,,,,231.0,277.0,249.0,288.0,225.0,197.0,223.0,203.0,94.0,80.0,87.0,E,3.0,NE,2.0,ENE,3.0,10.0,9.0,9.0,593.0,,
25,19500126.0,610.0,607.0,592.0,,,,230.0,263.0,249.0,279.0,225.0,200.0,210.0,207.0,96.0,82.0,88.0,E,1.0,NE,2.0,E,0.0,10.0,9.0,9.0,76.0,,
26,19500127.0,591.0,595.0,589.0,,,,221.0,267.0,249.0,268.0,215.0,187.0,213.0,201.0,95.0,82.0,86.0,E,1.0,E,2.0,NE,1.0,10.0,9.0,9.0,746.0,,
27,19500128.0,600.0,596.0,581.0,,,,230.0,281.0,257.0,267.0,218.0,201.0,200.0,202.0,96.0,71.0,82.0,E,0.0,S,2.0,E,0.0,9.0,9.0,7.0,37.0,,
28,19500129.0,598.0,591.0,595.0,,,,239.0,263.0,269.0,288.0,234.0,204.0,223.0,218.0,92.0,88.0,83.0,E,0.0,NE,2.0,E,1.0,9.0,6.0,8.0,72.0,,
29,19500130.0,600.0,600.0,588.0,,,,240.0,267.0,245.0,296.0,228.0,206.0,217.0,211.0,93.0,83.0,92.0,E,0.0,ENE,1.0,E,0.0,9.0,10.0,9.0,34.0,,
30,19500131.0,600.0,598.0,585.0,,,,236.0,288.0,241.0,270.0,228.0,196.0,202.0,204.0,90.0,68.0,91.0,E,3.0,ENE,2.0,NE,2.0,10.0,7.0,9.0,3.0,,
31,,760.1709677419354,759.6387096774193,758.7258064516129,,,,24.2,27.82903225806452,25.748387096774195,28.9741935483871,23.09032258064516,20.848387096774193,22.074193548387097,21.393548387096775,92.96774193548387,79.74193548387096,86.90322580645162,,0.4838709677419355,,1.5161290322580645,,1.0,7.064516129032258,8.03225806451613,6.741935483870968,368.7,,
32,19500201.0,596.0,593.0,582.0,,,,243.0,246.0,252.0,290.0,230.0,214.0,220.0,224.0,95.0,96.0,94.0,E,0.0,E,0.0,NE,1.0,9.0,9.0,10.0,28.0,,
33,19500202.0,597.0,595.0,584.0,,,,247.0,296.0,258.0,282.0,236.0,210.0,232.0,215.0,91.0,75.0,87.0,E,2.0,E,3.0,ENE,2.0,9.0,9.0,9.0,220.0,,
34,19500203.0,599.0,595.0,585.0,,,,247.0,290.0,265.0,300.0,236.0,196.0,215.0,203.0,93.0,72.0,79.0,E,0.0,ENE,3.0,ENE,3.0,6.0,8.0,9.0,24.0,,
35,19500204.0,605.0,600.0,586.0,,,,250.0,274.0,253.0,298.0,239.0,212.0,207.0,212.0,90.0,76.0,88.0,E,0.0,E,3.0,E,0.0,7.0,9.0,9.0,0.0,,
36,19500205.0,605.0,597.0,588.0,,,,241.0,251.0,250.0,285.0,230.0,212.0,219.0,214.0,95.0,93.0,91.0,E,0.0,E,0.0,E,0.0,10.0,9.0,8.0,18.0,,
37,19500206.0,604.0,595.0,586.0,,,,242.0,295.0,266.0,270.0,229.0,211.0,232.0,222.0,94.0,76.0,85.0,E,0.0,NE,3.0,NE,2.0,7.0,8.0,9.0,26.0,,
38,19500207.0,600.0,590.0,586.0,,,,250.0,269.0,266.0,305.0,239.0,216.0,224.0,224.0,92.0,85.0,86.0,E,1.0,E,0.0,NE,2.0,3.0,9.0,7.0,4.0,,
39,19500208.0,601.0,595.0,581.0,,,,247.0,306.0,274.0,297.0,233.0,219.0,205.0,203.0,95.0,63.0,75.0,E,0.0,ENE,3.0,ENE,4.0,7.0,2.0,2.0,11.0,,
40,19500209.0,603.0,596.0,585.0,,,,248.0,307.0,267.0,315.0,229.0,213.0,206.0,207.0,92.0,63.0,80.0,E,1.0,NE,3.0,ENE,2.0,3.0,4.0,2.0,0.0,,
41,19500210.0,593.0,594.0,581.0,,,,255.0,303.0,271.0,312.0,238.0,213.0,205.0,203.0,88.0,64.0,76.0,NNE,2.0,NE,4.0,ENE,2.0,1.0,3.0,2.0,0.0,,
42,19500211.0,598.0,593.0,580.0,,,,244.0,304.0,273.0,309.0,233.0,210.0,196.0,203.0,92.0,61.0,75.0,E,0.0,ENE,3.0,ENE,2.0,9.0,5.0,3.0,0.0,,
43,19500212.0,592.0,586.0,576.0,,,,244.0,308.0,272.0,308.0,231.0,204.0,210.0,202.0,90.0,63.0,75.0,E,0.0,ENE,3.0,NE,2.0,2.0,5.0,5.0,0.0,,
44,19500213.0,601.0,607.0,587.0,,,,233.0,254.0,251.0,311.0,226.0,203.0,219.0,213.0,96.0,91.0,90.0,E,0.0,E,1.0,NE,1.0,10.0,10.0,9.0,167.0,,
45,19500214.0,607.0,603.0,587.0,,,,235.0,292.0,267.0,258.0,226.0,206.0,207.0,221.0,96.0,69.0,85.0,E,0.0,NE,3.0,NE,3.0,10.0,9.0,9.0,200.0,,
46,19500215.0,608.0,605.0,590.0,,,,253.0,298.0,269.0,297.0,236.0,212.0,218.0,206.0,88.0,70.0,78.0,ENE,3.0,NE,2.0,NE,3.0,1.0,8.0,9.0,3.0,,
47,19500216.0,606.0,598.0,595.0,,,,257.0,297.0,269.0,300.0,246.0,209.0,212.0,212.0,85.0,68.0,80.0,NE,2.0,ENE,4.0,ENE,3.0,7.0,4.0,9.0,0.0,,
