,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
0,19550101.0,110.0,81.0,93.0,234.0,281.0,245.0,300.0,226.0,201.0,212.0,211.0,94.0,75.0,92.0,Calm,0.0,Calm,0.0,Calm,0.0,9.0,9.0,9.0,319.0,,
1,19550102.0,105.0,92.0,82.0,235.0,291.0,264.0,283.0,230.0,191.0,200.0,211.0,89.0,66.0,82.0,ESE,1.0,Calm,0.0,Calm,0.0,8.0,8.0,5.0,149.0,,
2,19550103.0,102.0,70.0,73.0,246.0,298.0,267.0,296.0,235.0,210.0,226.0,215.0,92.0,73.0,83.0,ESE,1.0,NE,1.0,NE,2.0,9.0,9.0,8.0,37.0,,
3,19550104.0,101.0,78.0,70.0,258.0,280.0,260.0,306.0,239.0,215.0,229.0,221.0,87.0,82.0,89.0,ESE,1.0,NE,2.0,NE,1.0,8.0,9.0,9.0,0.0,,
4,19550105.0,106.0,89.0,82.0,251.0,288.0,261.0,287.0,240.0,225.0,206.0,215.0,95.0,69.0,85.0,Calm,0.0,NE,1.0,E,1.0,9.0,9.0,8.0,226.0,,
5,19550106.0,113.0,96.0,92.0,253.0,282.0,272.0,297.0,238.0,224.0,236.0,214.0,93.0,83.0,80.0,Calm,0.0,NE,1.0,NE,1.0,6.0,9.0,6.0,2.0,,
6,19550107.0,113.0,97.0,81.0,251.0,283.0,264.0,295.0,238.0,215.0,229.0,217.0,91.0,80.0,85.0,Calm,0.0,ENE,1.0,Calm,0.0,5.0,9.0,8.0,5.0,,
7,19550108.0,116.0,94.0,92.0,256.0,290.0,258.0,299.0,229.0,204.0,205.0,207.0,84.0,69.0,84.0,Calm,0.0,NE,3.0,E,1.0,3.0,7.0,9.0,174.0,,
8,19550109.0,109.0,101.0,96.0,243.0,292.0,271.0,297.0,237.0,210.0,200.0,209.0,93.0,66.0,78.0,SE,1.0,NE,2.0,NE,1.0,9.0,6.0,5.0,85.0,,
9,19550110.0,120.0,106.0,105.0,255.0,275.0,262.0,296.0,235.0,218.0,226.0,228.0,90.0,83.0,82.0,E,2.0,ENE,1.0,NE,2.0,4.0,9.0,8.0,0.0,,
10,19550111.0,128.0,110.0,108.0,254.0,283.0,259.0,284.0,236.0,223.0,221.0,212.0,93.0,77.0,85.0,ENE,1.0,NE,3.0,Calm,0.0,6.0,9.0,10.0,57.0,,
11,19550112.0,124.0,108.0,102.0,249.0,295.0,264.0,298.0,236.0,211.0,214.0,205.0,90.0,69.0,80.0,ESE,1.0,NE,2.0,NE,2.0,5.0,8.0,5.0,24.0,,
12,19550113.0,121.0,102.0,108.0,245.0,300.0,268.0,305.0,230.0,211.0,199.0,201.0,92.0,63.0,77.0,ESE,1.0,NE,2.0,NE,2.0,8.0,5.0,8.0,4.0,,
13,19550114.0,130.0,113.0,120.0,234.0,284.0,258.0,304.0,225.0,197.0,204.0,215.0,92.0,71.0,87.0,Calm,0.0,ENE,3.0,NE,1.0,10.0,9.0,10.0,72.0,,
14,19550115.0,141.0,125.0,120.0,260.0,286.0,263.0,287.0,240.0,211.0,213.0,206.0,85.0,73.0,81.0,Calm,0.0,ENE,3.0,NE,2.0,3.0,8.0,5.0,28.0,,
15,19550116.0,138.0,121.0,116.0,258.0,284.0,262.0,292.0,236.0,215.0,212.0,206.0,87.0,74.0,82.0,NE,1.0,NNE,3.0,NNE,2.0,2.0,8.0,7.0,0.0,,
16,19550117.0,142.0,128.0,114.0,259.0,283.0,261.0,289.0,237.0,201.0,189.0,193.0,81.0,66.0,77.0,Calm,0.0,ENE,3.0,Calm,0.0,8.0,8.0,8.0,20.0,,
17,19550118.0,129.0,117.0,109.0,243.0,287.0,257.0,289.0,222.0,190.0,174.0,204.0,84.0,60.0,83.0,Calm,0.0,NE,2.0,Calm,0.0,8.0,8.0,9.0,0.0,,
18,19550119.0,125.0,116.0,110.0,221.0,283.0,255.0,293.0,210.0,190.0,195.0,175.0,96.0,69.0,72.0,Calm,0.0,NE,3.0,NE,1.0,10.0,9.0,4.0,0.0,,
19,19550120.0,125.0,109.0,104.0,234.0,294.0,256.0,289.0,212.0,188.0,175.0,145.0,88.0,58.0,60.0,Calm,0.0,NE,3.0,NE,1.0,7.0,4.0,3.0,0.0,,
20,19550121.0,121.0,127.0,110.0,245.0,290.0,263.0,300.0,219.0,209.0,181.0,196.0,92.0,61.0,77.0,Calm,0.0,NE,4.0,NE,3.0,5.0,5.0,2.0,0.0,,
21,19550122.0,129.0,120.0,112.0,247.0,284.0,263.0,299.0,223.0,202.0,189.0,194.0,87.0,66.0,77.0,NE,1.0,NE,2.0,NE,1.0,1.0,5.0,1.0,0.0,,
22,19550123.0,126.0,121.0,110.0,237.0,287.0,256.0,286.0,214.0,195.0,195.0,184.0,90.0,66.0,75.0,Calm,0.0,NNE,3.0,NNE,1.0,1.0,7.0,7.0,0.0,,
23,19550124.0,134.0,129.0,120.0,246.0,297.0,262.0,294.0,217.0,179.0,144.0,151.0,78.0,46.0,60.0,Calm,0.0,N,1.0,Calm,0.0,2.0,1.0,2.0,0.0,,
24,19550125.0,133.0,124.0,113.0,233.0,275.0,254.0,299.0,208.0,194.0,187.0,168.0,91.0,69.0,70.0,Calm,0.0,ENE,2.0,Calm,0.0,3.0,9.0,4.0,1.0,,
25,19550126.0,124.0,109.0,105.0,223.0,288.0,252.0,282.0,191.0,177.0,156.0,157.0,88.0,54.0,66.0,Calm,0.0,N,2.0,Calm,0.0,1.0,1.0,2.0,0.0,,
26,19550127.0,122.0,117.0,97.0,219.0,293.0,262.0,293.0,188.0,167.0,161.0,174.0,86.0,53.0,69.0,Calm,0.0,ENE,3.0,NE,2.0,1.0,2.0,7.0,0.0,,
27,19550128.0,120.0,116.0,109.0,227.0,292.0,265.0,299.0,217.0,176.0,176.0,169.0,87.0,59.0,66.0,E,2.0,ENE,2.0,ENE,2.0,8.0,9.0,9.0,0.0,,
28,19550129.0,122.0,113.0,109.0,246.0,301.0,266.0,294.0,228.0,205.0,176.0,192.0,89.0,55.0,77.0,Calm,0.0,NE,3.0,NE,2.0,8.0,6.0,5.0,8.0,,
29,19550130.0,129.0,109.0,108.0,237.0,299.0,268.0,306.0,230.0,197.0,187.0,184.0,90.0,60.0,70.0,SE,1.0,NE,3.0,NE,3.0,9.0,7.0,4.0,38.0,,
30,19550131.0,128.0,120.0,108.0,235.0,289.0,265.0,304.0,226.0,203.0,197.0,197.0,94.0,67.0,77.0,Calm,0.0,ENE,3.0,NE,2.0,9.0,9.0,8.0,5.0,,
31,,1012.2129032258065,1010.8322580645162,1010.2516129032258,24.303225806451614,28.81935483870968,26.138709677419353,29.49032258064516,22.55483870967742,20.174193548387098,19.72258064516129,19.6,89.29032258064517,67.16129032258064,77.6774193548387,,0.45161290322580644,,2.161290322580645,,1.1612903225806452,5.967741935483871,7.129032258064516,6.290322580645161,125.4,,
32,19550201.0,130.0,118.0,101.0,249.0,277.0,263.0,295.0,237.0,203.0,215.0,210.0,87.0,78.0,82.0,E,2.0,ENE,1.0,NE,1.0,2.0,9.0,9.0,0.0,,
33,19550202.0,126.0,121.0,94.0,250.0,298.0,266.0,290.0,238.0,210.0,192.0,196.0,89.0,62.0,76.0,Calm,0.0,NE,4.0,NE,3.0,4.0,8.0,7.0,7.0,,
34,19550203.0,126.0,112.0,96.0,248.0,295.0,267.0,304.0,234.0,209.0,200.0,188.0,92.0,65.0,72.0,Calm,0.0,ENE,4.0,NE,3.0,8.0,9.0,7.0,15.0,,
35,19550204.0,118.0,110.0,98.0,251.0,293.0,266.0,303.0,241.0,196.0,189.0,196.0,83.0,62.0,76.0,Calm,0.0,NE,3.0,NE,2.0,2.0,9.0,2.0,0.0,,
36,19550205.0,113.0,104.0,96.0,238.0,293.0,268.0,299.0,213.0,198.0,201.0,195.0,90.0,66.0,75.0,Calm,0.0,NE,2.0,NNE,2.0,2.0,5.0,9.0,1.0,,
37,19550206.0,117.0,109.0,101.0,236.0,301.0,267.0,302.0,231.0,200.0,178.0,182.0,92.0,56.0,70.0,Calm,0.0,NE,3.0,ENE,2.0,7.0,4.0,2.0,0.0,,
38,19550207.0,110.0,102.0,95.0,255.0,291.0,262.0,305.0,225.0,203.0,202.0,191.0,84.0,67.0,76.0,NE,1.0,NE,4.0,NE,2.0,5.0,9.0,3.0,0.0,,
39,19550208.0,110.0,100.0,86.0,247.0,292.0,267.0,297.0,230.0,202.0,194.0,184.0,87.0,64.0,71.0,Calm,0.0,NE,3.0,ENE,2.0,7.0,6.0,4.0,30.0,,
40,19550209.0,110.0,112.0,96.0,245.0,287.0,264.0,300.0,216.0,187.0,181.0,168.0,82.0,62.0,66.0,Calm,0.0,NE,3.0,NE,3.0,1.0,9.0,3.0,0.0,,
41,19550210.0,120.0,120.0,108.0,224.0,264.0,253.0,291.0,206.0,187.0,207.0,192.0,93.0,81.0,81.0,Calm,0.0,E,2.0,NE,2.0,6.0,10.0,7.0,70.0,,
