1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CFFF FCCS CFSF CCCS CCRC FFFF FFFF FCCC FFFF FFFF FFFF FFFF 
 2 CFFF CSSS SSRR SSCF FFFF FFFC FFFF RRRR FFFC FFFF FFFF FFFF
 3 SFFS FCFF CCCC FFFF FFFF FFCR FFFF CCRR FFFF CCCC RRFF FFFF
 4 SFCF FFFF CCCC FFFF FFFF FFRC FCCR FCCC FFFC CFCC FFFF CCSS
 5 SFFF SSRS SSFF CCFF FFFF FFCF FFFF FFFF CRRR FCRC CFFF SSCF
 6 CFFF SSFC CCFF FFFF CRRR FCFF FFFF FFCR RRFC RRRF FFFF FFFF
 7 CSCF CFCS FFFF FFFF RRRR CFFF CCCF FFFF FFFF FFFF FFFF CFFF
 8 FFFF FFFF FFFF FFFF CFFF FFFF RCFR FFFC FFFF FFFF FFFC CFFS
 9 FFFF CFFF CSFF CFFF FFCC CFFF FFFF CCRR FFFF FFCF CCRR SSSS
10 CCCF FFFF FFFF CCFF CCFF FFCC FFFF CCCF FFFF FFFF CCCR SSSF
11 FFFF FFFF FFFF FFFF FFFF CFFF FFFF CFCR FFCR FFFF FFFF FFFF
12 FFFF FFFF FFFF FFFF CCRR FFRF FFFF RCRF RRRR FFFF FFCR FFCC
13 FFFF FFFF FFFF FFFF FFFF FFCR FFFF FFFF CFFF FFFF FFFF CFSR
14 FCCS SSSS FFFF FFFF FFFF FFFF FFFF RCCR FFFF FFCR CCFR RFFF
15 SSCF FFFF FFCF FFFF FFCC CCFF FFCF FFFF FFFF FFFF FRFF FFFF
16 FFCS CFFF RRRR FFFF CCCC FFFF FFFF FFFF FFFF FFFF FFFF CCCC
17 FFFF FFCC FFCC RRCC CCCC FFCR FFFF CCCC FFFC FCRR CSSS CCCC
18 FFFF CCRR FFFF CRRR FFCC FRRR CCRR CCCC CCFR FFFF CFFF FFFF
19 FFFF FFCC FFFF RRRC CFFF FCRR CFCF CCFC RRRR FFFF CCCF FCFF
20 CSFC SSHR FFCF RRCC CCFF FFFF CRFF FFFF FFFF CCFC SSRR CFFF
21 CCCC FFFF CCCC FCCR CCFF FFFF CFCC FFCR FFFF CCRR FFFF FFFF
22 CCRR CFFS FFFF RCCR FFFF FCCR FFFF FFFC CCCC CCCC CCFF FCFR
23 CFCF FFFF FFFC CCRC CFFF FFCC FRRR RCRR CCCF FFFF SSFS RRRR
24 FFCF SSSS CCCF CCRR FFFF FFFF FFFF FFFF FFFF FFFF FFFF SSFF
25 CFFF FFFF FFFF CCRR FFFF FFFF CFFF FFFF FFFF FFFF FFFF FFFF
26 FFCC FFFF FFFF CCCF FFFC FFFR FFFC RCRR FFFF FFFF FFFF FFFF
27 FFFF CCFF RSFF FFFF CRFR FRRF FCRF CFFF FFFF RCFF CCCC FFFF
