date,p0,p1,datestring
1786-01-01,1021.8,1015.6,1786_January_1
1786-01-02,1014.3,1004.4,1786_January_2
1786-01-03,993.5,997.4,1786_January_3
1786-01-04,1002.2,1004.7,1786_January_4
1786-01-05,1005.1,9999.9,1786_January_5
1786-01-06,1010.4,1005.4,1786_January_6
1786-01-07,1005.1,9999.9,1786_January_7
1786-01-08,1008.1,9999.9,1786_January_8
1786-01-09,1008.8,1008.8,1786_January_9
1786-01-10,991.9,1011.4,1786_January_10
1786-01-11,1010.9,1009.3,1786_January_11
1786-01-12,1008.5,1005.0,1786_January_12
1786-01-13,1014.8,1019.1,1786_January_13
1786-01-14,1019.5,1012.8,1786_January_14
1786-01-15,1011.0,1002.4,1786_January_15
1786-01-16,1006.7,1009.1,1786_January_16
1786-01-17,1014.4,1019.6,1786_January_17
1786-01-18,1024.0,1026.9,1786_January_18
1786-01-19,1032.3,1033.7,1786_January_19
1786-01-20,1036.9,1032.3,1786_January_20
1786-01-21,1020.9,9999.9,1786_January_21
1786-01-22,1005.8,9999.9,1786_January_22
1786-01-23,999.8,988.0,1786_January_23
1786-01-24,1012.2,1023.9,1786_January_24
1786-01-25,1008.0,9999.9,1786_January_25
1786-01-26,1010.3,9999.9,1786_January_26
1786-01-27,1032.2,9999.9,1786_January_27
1786-01-28,1026.8,9999.9,1786_January_28
1786-01-29,1014.9,1015.0,1786_January_29
1786-01-30,1011.5,9999.9,1786_January_30
1786-01-31,988.6,1017.4,1786_January_31
1786-02-01,1027.3,1029.0,1786_February_1
1786-02-02,1027.9,1021.7,1786_February_2
1786-02-03,1020.2,1012.2,1786_February_3
1786-02-04,1013.4,1017.8,1786_February_4
1786-02-05,1017.0,1008.5,1786_February_5
1786-02-06,1003.4,1007.0,1786_February_6
1786-02-07,1006.8,9999.9,1786_February_7
1786-02-08,1006.3,9999.9,1786_February_8
1786-02-09,1006.3,1006.3,1786_February_9
1786-02-10,1005.9,1006.5,1786_February_10
1786-02-11,1020.6,1021.5,1786_February_11
1786-02-12,1021.5,9999.9,1786_February_12
1786-02-13,1021.8,1016.4,1786_February_13
1786-02-14,1014.5,1007.7,1786_February_14
1786-02-15,1014.3,1021.5,1786_February_15
1786-02-16,1021.7,1023.5,1786_February_16
1786-02-17,1024.4,1019.0,1786_February_17
1786-02-18,1009.6,1005.6,1786_February_18
1786-02-19,1021.0,9999.9,1786_February_19
1786-02-20,1022.7,1006.9,1786_February_20
1786-02-21,1010.9,1026.6,1786_February_21
1786-02-22,1024.1,1014.8,1786_February_22
1786-02-23,1022.8,1017.2,1786_February_23
1786-02-24,1007.4,1016.0,1786_February_24
1786-02-25,1025.0,1023.2,1786_February_25
1786-02-26,1019.8,1013.3,1786_February_26
1786-02-27,1010.4,9999.9,1786_February_27
1786-02-28,1008.9,9999.9,1786_February_28
,9999.9,9999.9,1786_February_29
,9999.9,9999.9,1786_February_30
,9999.9,9999.9,1786_February_31
1786-03-01,1007.8,1008.8,1786_March_1
1786-03-02,1007.2,994.8,1786_March_2
1786-03-03,992.1,991.0,1786_March_3
1786-03-04,991.5,9999.9,1786_March_4
1786-03-05,1006.3,1015.2,1786_March_5
1786-03-06,1014.8,1010.3,1786_March_6
1786-03-07,1009.0,9999.9,1786_March_7
1786-03-08,9999.9,1001.6,1786_March_8
1786-03-09,1002.8,1006.4,1786_March_9
1786-03-10,1010.0,1015.3,1786_March_10
1786-03-11,1018.5,1016.3,1786_March_11
1786-03-12,1018.8,9999.9,1786_March_12
1786-03-13,1027.8,1029.5,1786_March_13
1786-03-14,1029.3,1027.0,1786_March_14
1786-03-15,1026.2,1026.7,1786_March_15
1786-03-16,1019.9,1004.6,1786_March_16
1786-03-17,1002.9,1005.7,1786_March_17
1786-03-18,1008.7,9999.9,1786_March_18
1786-03-19,9999.9,9999.9,1786_March_19
1786-03-20,1009.9,9999.9,1786_March_20
1786-03-21,1005.7,9999.9,1786_March_21
1786-03-22,992.5,994.6,1786_March_22
1786-03-23,992.8,992.3,1786_March_23
1786-03-24,994.3,997.7,1786_March_24
1786-03-25,995.3,1000.7,1786_March_25
1786-03-26,999.6,995.9,1786_March_26
1786-03-27,998.2,1002.1,1786_March_27
1786-03-28,1009.5,1013.2,1786_March_28
1786-03-29,1011.1,1005.4,1786_March_29
1786-03-30,1005.2,1011.6,1786_March_30
1786-03-31,1006.4,995.9,1786_March_31
1786-04-01,1020.1,1014.7,1786_April_1
1786-04-02,998.5,1018.5,1786_April_2
1786-04-03,1024.9,1013.6,1786_April_3
1786-04-04,1009.0,1008.3,1786_April_4
1786-04-05,1007.8,1006.2,1786_April_5
1786-04-06,1006.0,999.3,1786_April_6
1786-04-07,1002.5,9999.9,1786_April_7
1786-04-08,1012.8,1004.8,1786_April_8
1786-04-09,1003.3,1009.2,1786_April_9
1786-04-10,1010.7,1011.8,1786_April_10
1786-04-11,1015.6,1017.8,1786_April_11
1786-04-12,1017.4,1018.8,1786_April_12
1786-04-13,1021.7,1018.0,1786_April_13
1786-04-14,1015.9,1013.0,1786_April_14
1786-04-15,1018.0,1016.1,1786_April_15
1786-04-16,1015.5,1009.0,1786_April_16
1786-04-17,1005.9,1007.6,1786_April_17
1786-04-18,1008.1,1010.1,1786_April_18
1786-04-19,1014.3,1016.2,1786_April_19
1786-04-20,1020.4,1021.2,1786_April_20
1786-04-21,1021.4,1018.0,1786_April_21
1786-04-22,1017.6,9999.9,1786_April_22
1786-04-23,1015.2,1011.5,1786_April_23
1786-04-24,1008.7,995.7,1786_April_24
1786-04-25,992.0,994.1,1786_April_25
1786-04-26,998.9,1002.6,1786_April_26
1786-04-27,1005.2,1005.3,1786_April_27
1786-04-28,1002.4,1001.1,1786_April_28
1786-04-29,999.2,998.4,1786_April_29
1786-04-30,995.6,9999.9,1786_April_30
,9999.9,9999.9,1786_April_31
1786-05-01,997.8,998.1,1786_May_1
1786-05-02,1001.4,9999.9,1786_May_2
1786-05-03,1008.5,1007.8,1786_May_3
1786-05-04,1009.4,1012.8,1786_May_4
1786-05-05,1014.2,1013.1,1786_May_5
1786-05-06,1011.8,1005.5,1786_May_6
1786-05-07,998.4,9999.9,1786_May_7
1786-05-08,1005.1,1011.8,1786_May_8
1786-05-09,1014.8,1017.9,1786_May_9
1786-05-10,1019.2,1014.7,1786_May_10
1786-05-11,1014.0,1010.8,1786_May_11
1786-05-12,1011.4,1010.6,1786_May_12
1786-05-13,1008.2,1010.9,1786_May_13
1786-05-14,1010.7,1009.5,1786_May_14
1786-05-15,1012.6,1016.0,1786_May_15
1786-05-16,1008.0,1004.3,1786_May_16
1786-05-17,1003.0,1005.2,1786_May_17
1786-05-18,1005.0,1006.2,1786_May_18
1786-05-19,1008.6,1014.1,1786_May_19
1786-05-20,1017.9,1017.5,1786_May_20
1786-05-21,1018.2,1015.7,1786_May_21
1786-05-22,1016.3,1016.0,1786_May_22
1786-05-23,1016.5,1015.9,1786_May_23
1786-05-24,1014.6,9999.9,1786_May_24
1786-05-25,9999.9,1014.9,1786_May_25
1786-05-26,1018.6,1020.5,1786_May_26
1786-05-27,1019.8,1020.2,1786_May_27
1786-05-28,1019.6,1017.4,1786_May_28
1786-05-29,1016.9,1019.1,1786_May_29
1786-05-30,1020.4,1019.9,1786_May_30
1786-05-31,1018.2,1017.3,1786_May_31
1786-06-01,1016.5,1015.0,1786_June_1
1786-06-02,1015.5,9999.9,1786_June_2
1786-06-03,1008.7,1002.3,1786_June_3
1786-06-04,1002.0,9999.9,1786_June_4
1786-06-05,1008.6,1004.8,1786_June_5
1786-06-06,1003.8,999.3,1786_June_6
1786-06-07,999.0,998.9,1786_June_7
1786-06-08,999.0,999.1,1786_June_8
1786-06-09,1004.1,1011.2,1786_June_9
1786-06-10,1011.8,1007.2,1786_June_10
1786-06-11,1004.9,998.5,1786_June_11
1786-06-12,997.3,1001.6,1786_June_12
1786-06-13,1004.1,1004.0,1786_June_13
1786-06-14,1007.3,1010.0,1786_June_14
1786-06-15,1013.2,1015.3,1786_June_15
1786-06-16,1017.2,1011.9,1786_June_16
1786-06-17,1009.4,1006.4,1786_June_17
1786-06-18,1005.4,1003.2,1786_June_18
1786-06-19,1003.8,999.2,1786_June_19
1786-06-20,1002.3,1003.9,1786_June_20
1786-06-21,1004.2,1004.1,1786_June_21
1786-06-22,1005.3,1007.0,1786_June_22
1786-06-23,1006.7,1005.7,1786_June_23
1786-06-24,1005.4,1002.8,1786_June_24
1786-06-25,1002.6,1001.9,1786_June_25
1786-06-26,1002.7,1005.1,1786_June_26
1786-06-27,1003.7,1004.7,1786_June_27
1786-06-28,1007.6,1008.0,1786_June_28
1786-06-29,1008.4,1006.5,1786_June_29
1786-06-30,1008.7,1012.7,1786_June_30
,9999.9,9999.9,1786_June_31
1786-07-01,1017.3,1013.2,1786_July_1
1786-07-02,1011.2,1005.5,1786_July_2
1786-07-03,1007.4,1007.8,1786_July_3
1786-07-04,1007.6,1004.4,1786_July_4
1786-07-05,1007.0,1007.3,1786_July_5
1786-07-06,1008.7,1009.4,1786_July_6
1786-07-07,1009.3,1008.9,1786_July_7
1786-07-08,1005.6,9999.9,1786_July_8
1786-07-09,1008.6,1007.4,1786_July_9
1786-07-10,1008.8,1009.1,1786_July_10
1786-07-11,1008.9,1004.9,1786_July_11
