date,t0,t1,t2,t3,datestring
1786-01-01,-12.78,-4.44,-99.00,8.33,1786_January_1
1786-01-02,-8.33,-1.67,-99.00,-5.00,1786_January_2
1786-01-03,0.56,-3.89,-99.00,-2.78,1786_January_3
1786-01-04,-2.78,3.89,-99.00,-5.56,1786_January_4
1786-01-05,-0.56,2.22,-99.00,0.56,1786_January_5
1786-01-06,0.56,5.00,-99.00,-3.33,1786_January_6
1786-01-07,-5.56,-0.56,-99.00,-6.11,1786_January_7
1786-01-08,-9.44,-5.00,-99.00,-12.22,1786_January_8
1786-01-09,-5.56,-99.00,-99.00,0.56,1786_January_9
1786-01-10,-3.89,1.67,-99.00,-3.33,1786_January_10
1786-01-11,-1.67,1.11,-99.00,-2.78,1786_January_11
1786-01-12,-6.11,1.11,-99.00,-2.78,1786_January_12
1786-01-13,-11.67,-5.56,-99.00,-14.44,1786_January_13
1786-01-14,-12.22,-2.78,-99.00,-6.67,1786_January_14
1786-01-15,-3.89,0.56,-99.00,-7.78,1786_January_15
1786-01-16,-11.67,-3.89,-99.00,-10.00,1786_January_16
1786-01-17,-16.11,-11.11,-99.00,-22.78,1786_January_17
1786-01-18,-21.67,-13.89,-99.00,-17.78,1786_January_18
1786-01-19,-21.67,-12.78,-99.00,-18.89,1786_January_19
1786-01-20,-16.67,-6.67,-99.00,-8.33,1786_January_20
1786-01-21,1.11,4.44,-99.00,4.44,1786_January_21
1786-01-22,6.67,7.78,-99.00,7.22,1786_January_22
1786-01-23,6.67,6.67,-99.00,-0.56,1786_January_23
1786-01-24,-4.44,0.56,-99.00,1.11,1786_January_24
1786-01-25,3.89,8.33,-99.00,3.33,1786_January_25
1786-01-26,2.22,3.89,-99.00,-2.78,1786_January_26
1786-01-27,-8.89,-99.00,-99.00,-8.33,1786_January_27
1786-01-28,-5.00,1.67,-99.00,1.67,1786_January_28
1786-01-29,2.78,8.89,-99.00,0.00,1786_January_29
1786-01-30,2.78,5.00,-99.00,8.89,1786_January_30
1786-01-31,7.22,7.22,-99.00,-7.78,1786_January_31
1786-02-01,-15.56,-4.44,-99.00,-3.89,1786_February_1
1786-02-02,-5.00,-3.89,-99.00,-8.33,1786_February_2
1786-02-03,-6.11,1.11,-99.00,0.00,1786_February_3
1786-02-04,-99.00,2.78,-99.00,-3.89,1786_February_4
1786-02-05,1.67,3.33,-99.00,0.00,1786_February_5
1786-02-06,0.00,3.33,-99.00,-1.11,1786_February_6
1786-02-07,0.56,3.89,-99.00,2.78,1786_February_7
1786-02-08,2.78,6.67,-99.00,1.67,1786_February_8
