date,p0,p1,p2,datestring
1786-01-01,1014.5,1012.5,1011.6,1786_January_1
1786-01-02,1010.3,1007.0,1001.5,1786_January_2
1786-01-03,986.0,985.3,989.3,1786_January_3
1786-01-04,995.6,995.9,999.3,1786_January_4
1786-01-05,998.4,998.1,1005.0,1786_January_5
1786-01-06,1004.5,1001.7,999.5,1786_January_6
1786-01-07,997.1,997.2,997.9,1786_January_7
1786-01-08,1000.2,1000.2,1002.7,1786_January_8
1786-01-09,1002.5,1002.3,1005.4,1786_January_9
1786-01-10,1005.6,1004.1,1005.5,1786_January_10
1786-01-11,1005.1,1002.0,1002.0,1786_January_11
1786-01-12,1002.6,997.1,996.7,1786_January_12
1786-01-13,1009.3,1007.5,1013.3,1786_January_13
1786-01-14,1012.4,1009.5,1007.6,1786_January_14
1786-01-15,999.7,1000.0,996.9,1786_January_15
1786-01-16,994.3,996.6,1001.3,1786_January_16
1786-01-17,1008.8,1008.5,1012.1,1786_January_17
1786-01-18,1017.7,1017.6,1018.9,1786_January_18
1786-01-19,1024.8,1016.9,1025.3,1786_January_19
1786-01-20,1030.7,1029.8,1027.0,1786_January_20
1786-01-21,1014.2,1009.6,1005.7,1786_January_21
1786-01-22,998.2,995.5,992.2,1786_January_22
1786-01-23,981.7,980.4,1002.4,1786_January_23
1786-01-24,1016.0,1016.9,1014.7,1786_January_24
1786-01-25,999.7,996.0,995.4,1786_January_25
1786-01-26,1002.2,1004.4,1011.2,1786_January_26
1786-01-27,1024.7,1024.7,1024.8,1786_January_27
1786-01-28,1020.9,1019.1,1010.5,1786_January_28
1786-01-29,1006.9,1007.4,1008.6,1786_January_29
1786-01-30,1004.2,993.3,984.3,1786_January_30
1786-01-31,982.0,984.4,1005.9,1786_January_31
1786-02-01,1019.5,1020.5,1021.6,1786_February_1
1786-02-02,1020.9,1019.1,1016.4,1786_February_2
1786-02-03,1012.1,1007.6,1004.8,1786_February_3
1786-02-04,1006.9,1007.7,1011.3,1786_February_4
1786-02-05,1010.6,1006.9,1001.2,1786_February_5
1786-02-06,995.9,994.8,998.6,1786_February_6
1786-02-07,999.3,996.2,992.9,1786_February_7
1786-02-08,997.8,997.9,997.4,1786_February_8
1786-02-09,997.3,998.5,1003.4,1786_February_9
1786-02-10,997.2,996.9,1004.7,1786_February_10
1786-02-11,1015.4,1014.1,1015.2,1786_February_11
1786-02-12,1015.6,1013.7,1013.6,1786_February_12
1786-02-13,1014.6,1012.9,1011.8,1786_February_13
1786-02-14,1008.2,1002.3,996.6,1786_February_14
1786-02-15,1008.3,1011.3,1013.4,1786_February_15
1786-02-16,1014.7,1014.2,1015.9,1786_February_16
1786-02-17,1019.0,1018.4,1015.7,1786_February_17
1786-02-18,1003.7,993.7,993.3,1786_February_18
1786-02-19,1016.1,1017.7,1022.6,1786_February_19
1786-02-20,1014.9,1007.8,997.8,1786_February_20
1786-02-21,1004.1,1010.3,1018.6,1786_February_21
1786-02-22,1018.1,1012.9,1010.6,1786_February_22
1786-02-23,1016.6,1016.2,1013.5,1786_February_23
1786-02-24,999.8,996.7,1006.5,1786_February_24
1786-02-25,1017.8,1018.3,1018.1,1786_February_25
1786-02-26,1015.0,1012.5,1009.0,1786_February_26
1786-02-27,1003.5,1000.2,998.9,1786_February_27
1786-02-28,999.8,999.7,1000.0,1786_February_28
,100.0,100.0,100.0,1786_February_29
,100.0,100.0,100.0,1786_February_30
,100.0,100.0,100.0,1786_February_31
1786-03-01,999.0,997.9,998.2,1786_March_1
1786-03-02,998.0,998.4,990.1,1786_March_2
1786-03-03,981.9,982.4,985.2,1786_March_3
1786-03-04,983.4,988.4,995.6,1786_March_4
1786-03-05,1000.7,1003.3,1009.4,1786_March_5
1786-03-06,1009.7,1009.5,1006.1,1786_March_6
1786-03-07,1002.9,1002.3,1002.1,1786_March_7
1786-03-08,1000.2,997.8,995.9,1786_March_8
1786-03-09,996.0,995.8,999.7,1786_March_9
1786-03-10,1004.5,1005.0,1009.0,1786_March_10
1786-03-11,1012.3,1011.8,1011.9,1786_March_11
1786-03-12,1013.2,1015.2,1018.1,1786_March_12
1786-03-13,1019.8,1020.1,1020.3,1786_March_13
1786-03-14,1024.0,1023.3,1022.0,1786_March_14
1786-03-15,1020.7,1020.5,1021.4,1786_March_15
1786-03-16,1015.1,1007.1,1000.5,1786_March_16
1786-03-17,996.6,996.7,998.3,1786_March_17
1786-03-18,1002.8,1002.9,1002.5,1786_March_18
1786-03-19,1002.2,1001.7,1003.0,1786_March_19
1786-03-20,1003.4,1004.6,1002.3,1786_March_20
1786-03-21,1000.3,996.7,992.3,1786_March_21
1786-03-22,986.3,985.3,986.9,1786_March_22
1786-03-23,987.0,984.5,985.2,1786_March_23
1786-03-24,987.2,988.1,991.1,1786_March_24
1786-03-25,990.2,990.6,993.7,1786_March_25
1786-03-26,993.0,989.0,989.4,1786_March_26
1786-03-27,991.7,992.3,995.8,1786_March_27
1786-03-28,1004.6,1006.1,1008.4,1786_March_28
1786-03-29,1007.4,1004.4,1002.0,1786_March_29
1786-03-30,1001.0,1003.3,1006.4,1786_March_30
1786-03-31,1003.3,1001.3,1007.9,1786_March_31
1786-04-01,1016.0,1016.2,1012.2,1786_April_1
1786-04-02,990.3,993.2,1011.6,1786_April_2
1786-04-03,1019.9,1018.0,1012.2,1786_April_3
1786-04-04,1004.4,1003.6,1003.8,1786_April_4
1786-04-05,1001.8,1001.8,1000.0,1786_April_5
1786-04-06,1000.2,999.9,996.8,1786_April_6
1786-04-07,995.9,999.5,1005.3,1786_April_7
1786-04-08,1008.0,1006.0,1004.2,1786_April_8
1786-04-09,995.7,997.4,1002.0,1786_April_9
1786-04-10,1004.7,1004.0,1006.1,1786_April_10
1786-04-11,1009.8,1010.1,1012.1,1786_April_11
