date,it8,it13,it21,ot8,ot13,ot21,datestring
1786-01-01,-12.22,-10.56,-9.72,-15.56,-6.50,-13.06,1786_January_1
1786-01-02,-9.72,-6.67,-5.00,-9.72,-3.44,-5.39,1786_January_2
1786-01-03,-1.11,-1.11,-2.78,0.00,-5.28,-3.56,1786_January_3
1786-01-04,-1.94,0.00,-0.28,-3.61,0.44,-6.00,1786_January_4
1786-01-05,-2.22,-0.83,0.00,-3.33,-0.78,-0.11,1786_January_5
1786-01-06,-0.56,0.00,0.56,-4.44,0.11,-2.89,1786_January_6
1786-01-07,-2.78,-3.06,-5.28,-6.11,-6.11,-7.94,1786_January_7
1786-01-08,-8.33,-6.56,-5.56,-15.28,-5.56,-12.78,1786_January_8
1786-01-09,-7.78,-3.22,-1.94,-7.39,-0.56,-4.00,1786_January_9
1786-01-10,-4.72,-3.89,-2.50,-8.06,-2.22,-2.78,1786_January_10
1786-01-11,-3.89,-1.67,-0.28,-3.33,1.67,-2.22,1786_January_11
1786-01-12,-4.72,-2.78,-0.56,-10.00,1.61,-0.56,1786_January_12
1786-01-13,-8.06,-5.56,-6.11,-13.89,-7.39,-13.89,1786_January_13
1786-01-14,-11.94,-9.44,-6.67,-15.56,-3.89,-8.06,1786_January_14
1786-01-15,-5.56,-3.89,-3.61,-6.67,-0.56,-8.33,1786_January_15
1786-01-16,-5.56,-3.89,-5.28,-9.72,-3.22,-13.06,1786_January_16
1786-01-17,-10.56,-9.44,-10.56,-18.06,-13.00,-21.67,1786_January_17
1786-01-18,-16.67,-14.44,-12.50,-25.56,-15.00,-18.06,1786_January_18
1786-01-19,-16.39,23.89,-12.22,-22.22,-13.44,-18.89,1786_January_19
1786-01-20,-17.22,-14.44,-10.56,-22.78,-8.22,-9.78,1786_January_20
1786-01-21,-7.22,-4.44,-0.28,-2.22,0.56,5.00,1786_January_21
1786-01-22,5.83,7.78,7.22,8.06,9.00,6.39,1786_January_22
1786-01-23,7.50,7.22,3.06,7.11,5.11,-1.11,1786_January_23
1786-01-24,-2.22,0.00,1.11,-99.90,1.11,-0.72,1786_January_24
1786-01-25,1.67,3.33,4.33,1.67,5.56,2.56,1786_January_25
1786-01-26,1.11,1.67,1.67,-0.83,2.11,-2.11,1786_January_26
1786-01-27,-5.00,-3.33,-2.22,-9.44,-5.00,-8.44,1786_January_27
1786-01-28,-6.67,-0.56,1.67,-8.89,3.17,1.67,1786_January_28
1786-01-29,1.11,9.44,4.72,-1.11,7.78,0.22,1786_January_29
1786-01-30,2.78,3.33,9.56,1.94,4.28,11.11,1786_January_30
1786-01-31,7.50,7.78,0.83,6.39,5.00,-7.89,1786_January_31
1786-02-01,-6.39,-4.44,-3.61,-11.39,-6.11,-6.11,1786_February_1
1786-02-02,-5.00,-4.17,-4.72,-6.67,-4.61,-8.89,1786_February_2
1786-02-03,-4.89,-4.72,-0.56,-9.72,-0.78,1.67,1786_February_3
1786-02-04,-0.83,0.56,0.83,-1.28,2.00,-3.56,1786_February_4
1786-02-05,-0.28,1.11,0.56,0.28,1.39,-1.44,1786_February_5
1786-02-06,0.00,0.72,0.00,-1.11,1.00,-1.67,1786_February_6
1786-02-07,-1.67,0.28,1.39,-2.22,2.50,1.94,1786_February_7
1786-02-08,1.11,3.89,4.44,1.67,4.44,1.33,1786_February_8
1786-02-09,1.67,6.11,5.00,1.11,7.22,0.33,1786_February_9
1786-02-10,4.44,7.78,5.56,4.72,9.44,-0.56,1786_February_10
1786-02-11,-4.17,-4.44,-5.56,-11.11,-8.89,-10.56,1786_February_11
1786-02-12,-8.89,-6.11,-3.89,-13.44,-5.28,-8.33,1786_February_12
1786-02-13,-7.50,-3.61,-1.67,-12.78,-3.06,-5.00,1786_February_13
1786-02-14,-3.89,-3.06,-3.61,-6.22,-5.56,-5.83,1786_February_14
1786-02-15,-4.72,-0.56,2.50,-7.06,2.78,-1.67,1786_February_15
1786-02-16,1.11,3.61,3.61,-1.00,6.67,0.44,1786_February_16
1786-02-17,1.67,4.72,4.44,-1.39,6.67,0.56,1786_February_17
1786-02-18,3.89,6.67,6.67,2.78,7.78,6.11,1786_February_18
