"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19300101, 0730, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      4, 00,    255, 00,     72, 00,    182, 00,    224, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300101, 1300, "O"   , 00, //////, //////, //////,      5, 00, //////////////, 07,      3, 00,    284, 00,     69, 00,    199, 00,    242, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300101, 1745, "ONO" , 00, //////, //////, //////,      4, 00, //////////////, 07,      3, 00,    252, 00,     74, 00,    177, 00,    220, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    238, 00, //////, //////,    286, 00
78989, 19300102, 0730, "ONO" , 00, //////, //////, //////,      4, 00, //////////////, 07,      3, 00,    256, 00,     75, 00,    184, 00,    225, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300102, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      4, 00,    280, 00,     70, 00,    197, 00,    240, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300102, 1745, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      2, 00,    248, 00,     80, 00,    187, 00,    224, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    285, 00
78989, 19300103, 0730, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    246, 00,     75, 00,    184, 00,    225, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300103, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      3, 00,    276, 00,     69, 00,    189, 00,    235, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300103, 1745, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    242, 00,     82, 00,    183, 00,    220, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300103, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    234, 00, //////, //////,    280, 00
78989, 19300104, 0730, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    242, 00,     85, 00,    190, 00,    224, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300104, 1300, "O"   , 00, //////, //////, //////,      5, 00, //////////////, 07,      4, 00,    278, 00,     63, 00,    176, 00,    228, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300104, 1745, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      4, 00,    238, 00,     85, 00,    186, 00,    220, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300104, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    236, 00, //////, //////,    280, 00
78989, 19300105, 0730, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      5, 00,    256, 00,     77, 00,    187, 00,    227, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300105, 1300, "O"   , 00, //////, //////, //////,      5, 00, //////////////, 07,      3, 00,    278, 00,     68, 00,    189, 00,    235, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300105, 1745, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      4, 00,    250, 00,     76, 00,    178, 00,    220, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300105, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    230, 00, //////, //////,    280, 00
78989, 19300106, 0730, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    250, 00,     79, 00,    185, 00,    224, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300106, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      5, 00,    277, 00,     69, 00,    189, 00,    235, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300106, 1745, "ONO" , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    248, 00,     79, 00,    183, 00,    222, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300106, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    230, 00, //////, //////,    280, 00
78989, 19300107, 0730, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      4, 00,    254, 00,     75, 00,    179, 00,    222, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300107, 1300, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      3, 00,    288, 00,     65, 00,    192, 00,    240, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300107, 1745, "O"   , 00, //////, //////, //////,      3, 00, //////////////, 07,      2, 00,    258, 00,     74, 00,    182, 00,    225, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300107, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    244, 00, //////, //////,    290, 00
78989, 19300108, 0730, "O"   , 00, //////, //////, //////,      4, 00, //////////////, 07,      3, 00,    252, 00,     74, 00,    177, 00,    220, 00, //////, //////,   3030, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19300108, 1300, "O"   , 00, //////, //////, //////,      6, 00, //////////////, 07,      2, 00,    286, 00,     69, 00,    203, 00,    245, 00, //////, //////,   3030, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
