"Stn",  "Datum", "Tijd", "DD","¢",   "FK",   "FF",  "FF1",  "FF2","¢",           "WW","¢",    "N","¢",    "T","¢",    "U","¢",   "EE","¢",   "Tw","¢",    "P",   "Pt",  "Pt1","¢",   "Rd",                     "Dr","¢",   "EV","¢",  "Trn",  "Tin",   "Tn","¢",  "Trx",  "Tix",   "Tx","¢"
78989, 19430101, 0800, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,      8, 00,    254, 00,     87, 00,    211, 00,    237, 00, //////,  76250, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430101, 1400, "O"   , 00, //////,      6, //////, //////, 00, //////////////, 07,     10, 00,    280, 00,     74, 00,    209, 00,    243, 00, //////,  76160, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430101, 1800, "OZO" , 00, //////,      7, //////, //////, 00, //////////////, 07,      6, 00,    262, 00,     76, 00,    193, 00,    229, 00, //////,  76050, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430101, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    234, 00, //////, //////,    305, 00
78989, 19430102, 0800, "O"   , 00, //////,      4, //////, //////, 00, //////////////, 07,      5, 00,    255, 00,     88, 00,    214, 00,    239, 00, //////,  76230, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430102, 1400, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,      3, 00,    284, 00,     73, 00,    211, 00,    245, 00, //////,  76150, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430102, 1800, "OZO" , 00, //////,      5, //////, //////, 00, //////////////, 07,      3, 00,    260, 00,     84, 00,    212, 00,    239, 00, //////,  76030, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430102, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    225, 00, //////, //////,    303, 00
78989, 19430103, 0800, "ONO" , 00, //////,      4, //////, //////, 00, //////////////, 07,      4, 00,    270, 00,     79, 00,    211, 00,    240, 00, //////,  76180, //////, 00,      2, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430103, 1400, "ONO" , 00, //////,      5, //////, //////, 00, //////////////, 07,      4, 00,    287, 00,     72, 00,    213, 00,    247, 00, //////,  76100, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430103, 1800, "NO"  , 00, //////,      5, //////, //////, 00, //////////////, 07,      3, 00,    262, 00,     71, 00,    183, 00,    223, 00, //////,  76020, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430103, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    245, 00, //////, //////,    300, 00
78989, 19430104, 0800, "O"   , 00, //////,      4, //////, //////, 00, //////////////, 07,      8, 00,    254, 00,     88, 00,    215, 00,    239, 00, //////,  76220, //////, 00,      8, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430104, 1400, "OZO" , 00, //////,      4, //////, //////, 00, //////////////, 07,      3, 00,    284, 00,     73, 00,    211, 00,    245, 00, //////,  76080, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430104, 1800, "ONO" , 00, //////,      6, //////, //////, 00, //////////////, 07,      7, 00,    260, 00,     76, 00,    192, 00,    228, 00, //////,  76070, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430104, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    300, 00
78989, 19430105, 0800, "OZO" , 00, //////,      4, //////, //////, 00, //////////////, 07,      6, 00,    270, 00,     75, 00,    200, 00,    235, 00, //////,  76170, //////, 00,      2, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430105, 1400, "OZO" , 00, //////,      6, //////, //////, 00, //////////////, 07,      7, 00,    296, 00,     61, 00,    190, 00,    237, 00, //////,  76090, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430105, 1800, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,      3, 00,    262, 00,     76, 00,    193, 00,    229, 00, //////,  76090, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430105, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    245, 00, //////, //////,    300, 00
78989, 19430106, 0800, "O"   , 00, //////,      4, //////, //////, 00, //////////////, 07,      7, 00,    270, 00,     72, 00,    193, 00,    231, 00, //////,  76130, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430106, 1400, "O"   , 00, //////,      6, //////, //////, 00, //////////////, 07,      8, 00,    293, 00,     64, 00,    197, 00,    240, 00, //////,  76050, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430106, 1800, "O"   , 00, //////,      7, //////, //////, 00, //////////////, 07,      2, 00,    260, 00,     80, 00,    201, 00,    233, 00, //////,  76080, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430106, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    241, 00, //////, //////,    309, 00
78989, 19430107, 0800, "O"   , 00, //////,      7, //////, //////, 00, //////////////, 07,      5, 00,    272, 00,     68, 00,    185, 00,    227, 00, //////,  76160, //////, 00,      3, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430107, 1400, "OZO" , 00, //////,      6, //////, //////, 00, //////////////, 07,      9, 00,    236, 00,     96, 00,    210, 00,    231, 00, //////,  76140, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430107, 1800, "OZO" , 00, //////,      4, //////, //////, 00, //////////////, 07,      5, 00,    260, 00,     77, 00,    194, 00,    229, 00, //////,  76050, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430107, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    235, 00, //////, //////,    299, 00
78989, 19430108, 0800, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,      1, 00,    264, 00,     80, 00,    206, 00,    237, 00, //////,  76260, //////, 00,     17, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430108, 1400, "OZO" , 00, //////,      5, //////, //////, 00, //////////////, 07,      2, 00,    290, 00,     65, 00,    197, 00,    239, 00, //////,  76120, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430108, 1800, "O"   , 00, //////,      6, //////, //////, 00, //////////////, 07,      2, 00,    257, 00,     79, 00,    196, 00,    229, 00, //////,  75940, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430108, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    243, 00, //////, //////,    302, 00
78989, 19430109, 0800, "OZO" , 00, //////,      6, //////, //////, 00, //////////////, 07,      3, 00,    267, 00,     76, 00,    199, 00,    234, 00, //////,  76270, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430109, 1400, "OZO" , 00, //////,      5, //////, //////, 00, //////////////, 07,      4, 00,    288, 00,     65, 00,    194, 00,    237, 00, //////,  76150, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430109, 1800, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,      3, 00,    260, 00,     81, 00,    205, 00,    235, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430109, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    245, 00, //////, //////,    304, 00
78989, 19430110, 0800, "O"   , 00, //////,      3, //////, //////, 00, //////////////, 07,      2, 00,    258, 00,     84, 00,    209, 00,    237, 00, //////,  76190, //////, 00,      0, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430110, 1400, "OZO?", 00, //////,      4, //////, //////, 00, //////////////, 07,      5, 00,    288, 00,     66, 00,    198, 00,    239, 00, //////,  76080, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430110, 1800, "O"   , 00, //////,      3, //////, //////, 00, //////////////, 07,      3, 00,    254, 00,     85, 00,    208, 00,    235, 00, //////,  75990, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430110, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    225, 00, //////, //////,    315, 00
78989, 19430111, 0800, "O"   , 00, //////,      2, //////, //////, 00, //////////////, 07,      5, 00,    270, 00,     77, 00,    207, 00,    239, 00, //////,  76180, //////, 00,      1, ////////////////////////, 00, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430111, 1400, "N"   , 00, //////,      6, //////, //////, 00, //////////////, 07,     10, 00,    292, 00,     73, 00,    222, 00,    253, 00, //////,  76150, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430111, 1800, "O"   , 00, //////,      5, //////, //////, 00, //////////////, 07,     10, 00,    238, 00,     96, 00,    212, 00,    233, 00, //////,  76000, //////, 00, //////, ////////////////////////, 07, //////, 07, //////, //////, //////, 07, //////, //////, //////, 07
78989, 19430111, 2400, //////, 07, //////, //////, //////, //////, 07, //////////////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, 07, //////, //////, //////, 07, //////, ////////////////////////, 07, //////, 07, //////, //////,    234, 00, //////, //////,    320, 00
